title,isEdited,userName,date,review,rating,app_name,app_id,developerResponse
Great resource!,False,zigalellium,2021-01-15 15:44:26,"This is really helpful! The only reason I didn’t give a higher rating is because there’s a strong overlying tone of a sales pitch there. Which is unfortunate, because I think people would be able to see the value easier if there wasn’t a push for money after every meditation and for many of the things on the app people would want to explore. Kind of stalls progress of the meditation itself when you’ve just worked so hard to pull yourself back, only to be instantly asked for money right after. From a company stand point I also think it would be more beneficial to work on building value and then freely offering the option to see what monthly costs are and also show a detailed description of what’s involved with a paid membership. I know this has worked well financially for other services and I’ve seen increases in sales by simply looking at things from the customers perspective. And I feel like the customers perspective is a miss here :(
However quite and easy fix and overall this app is amazing! It not only teaches the basics of meditation, but teaches different techniques as well. This makes it good for beginners all the way to experts. I truly believe that the basis of this app is pure in intention and I can see what a help it is to many people who walk the path of life.",3,headspace-meditation-sleep,493145008,
An amazing tool to have on the go wherever you are!!,False,Wild Lam,2021-05-21 18:12:26,"This app has been somewhat of a life saver for me. I’ve experienced a lot of trauma during my life, and a few years ago I came across this app or it came across to me via Instagram. I travel quite a bit and I love that I’m able to pick my environment of choice to meditate. I always thought meditation meant quieting your thoughts etc... but when I learned that it was part of being mindfulness and being present in the now it helped immensely in my day to day well being. When I did the anxiety course that really helped in so many ways because I thought you could get rid of it. But learning to become aware of it and being present with it, I felt it wasn’t so much of a burden. I’ve had trouble on and off sticking to it consistently but I’m trying it again. It’s nice to be able to have it there especially when I know how much of a positive impact it has had on my life. I am a parent and it’s something I want my child to learn and partake in so she has the necessary tools through out her early years to when she is grown up. This is worth every penny to maintain a healthy mindset and wellbeing. You’ll view the world and stress differently than you did before.",5,headspace-meditation-sleep,493145008,
I can’t recommend this enough,False,MSUBSMPH,2021-01-11 01:40:45,"I downloaded Headspace when it was free for health care workers in 2020. I was pregnant at the time and was under a lot of stress at my job. I started with the pregnancy course on the app. This was so amazing. First of all, Andy’s voice is incredibly calming. Then the pregnancy meditation helped me feel closer to baby. I was diagnosed with gestational diabetes, and when I was less stressed, my glucose was lower. This app helped me a ton with that. Then, when I went to my 29 week check up, I had just read a work email I was very upset about. The nurse took my blood pressure and it was high. They sent me to the hospital for monitoring. While I was there I practiced the meditation I had learned and was able to get my blood pressure down so I could go home! The meditations also helped me get through labor! Now that I had my baby, I’m still using this app because it just helps me find calm in my crazy world of being and full time working mom during a pandemic. If you are at all interested in meditation, you need this app. I promise it’s worth the money. When my free subscription is over, I’m paying for it! I never write app reviews, but I just want everyone to know how great Headspace truly is.",5,headspace-meditation-sleep,493145008,
Love this app!!,False,Chachey,2020-12-01 14:01:57,So I started using this app because my boyfriend said that I needed to start meditating due to my high levels of stress (and how easily I get stressed and I have poor stress management) and my because I am very easily angered and to him I just overall seem unhappy with life. I am only 24 so my stress shouldn’t be what it is in my opinion. So I took his advice on meditation and did some research and found this app. I’m still in the free trial stages of it but I will most definitely buy is once it ends. The reason I give 4 start is because I wish there were more mindful activities because of my job. I wake up at 6 am and come home from anywhere between 5pm - 11pm depending on the day I have. So it would be nice to have more mindful activities where I can use the app an work or do things at home with out it being the same thing. Or more on commuting. I’m driving all day long so to have something I can listen to while driving that isn’t music or just for a commute home would be nice. But other than that I have no complaints! I love it and I hope it gets me where I would like to be. And that is to be happy and content with my life as it is now. And not get so angry with things. I am really excited to keep using this app!,4,headspace-meditation-sleep,493145008,
The wonders of headspace,False,Sav.Dragan,2021-03-26 14:57:09,"In my abnormal psychology class we learned anxiety is not just a fight or flight response but instead can be a future oriented response. Abnormal anxiety usually is characterized by presenting when there is no real danger. Therefore when I lay down in bed to sleep and I start getting an increase heart rate, feel extremely hot and sometimes nauseous at the idea of future situations and work that I have yet to do, it’s abnormal. Even if many people experience this is is abnormal because there is no real threat just my brain over thinking future situations. Therefore on my quest to look for ways to relax my mind before bed I downloaded headspace. I usually listen to a guided meditation before bed. Followed I will set one of their sleep music for 60 minutes and lay down. I now am normally asleep before the sleep music stops. Even though in my class we talked more about biological and psychological treatments, I felt as though there might be an easier way for me to deal with this anxiety. Headspace has created a way for me to clear my head before bed allowing for more and a greater quality of sleep. I would suggest this app to anyone, not even for just sleeping. But as a way it relax.",5,headspace-meditation-sleep,493145008,
New to Headspace Old to meditation,False,fawayadventures,2020-04-16 12:08:38,"I started meditating in high school during my senior year when I did a solo project on the Dalai Lama and Thich Naht Hanh. Meditation was rejuvenating and grounding. Fast forward the next 15 years and meditation was lost to the hustle and bustle of life. My work recently offered a trial of Headapace to a select few prior to launching for the entire team. I immediately signed up knowing although my current mind stated, “you don’t have time for that” but my deep mind stated “you need this!” And here I am remembering again the importance of living in the moment,  taking in and appreciating the sounds, smells and feel of the world around me. Meditation got me through some very tough times as a teenager when I nearly lost my mother to a brain tumor and my father to mental illness. Now with the coronavirus pandemic, job insecurity and political unrest I again need to ground myself. Headspace allowed me to treasure again the here and now, to not only calm my flighty mind but feel my body the aches and tension releasing it. Just like physical health you must make the time to nourish your brain. 10 minutes a day is reasonable and will make a world of difference! Thank you Headapace for reminding me again to live in the moment and treasure the beauty of every day.",4,headspace-meditation-sleep,493145008,
A great app.  Needs work,False,Antiduplicity,2021-06-09 05:06:38,"I give this app 5 stars because the build of this app, the contents of this app, the flow of this app is great. well done. Every app can be improved and this one needs work in some ways 1. the watch app: the only thing I every get on the watch app is a 1 minute ""breath mini"". the watch app is basically useless. Why can't I see my today screen on the watch and start my various mediations from the watch. the watch app gets 1 star. 2. Shortcuts: on the iphone I have setup a sleep schedule. On the ""good night"" screen I am given the option to run shortcuts. Headspace offers a few shortcuts that can be called from this screen. One is the nightly ""sleepcast"". the sleepcast is supposzed to be different every night. It is different on my today screen, but the shortcut always plays the ""Rainyday Antiques"". therefore the shortcut is useless. this part of the app gets 1 star. Lastly, the philosophy behind this app is mindlessness. It is taught as a universal fix for bringing the mind to a place of ease. As such it is a religious philosophy. I think they need to be more open about this and they need to state that the point of this is to alleviate suffering.

This app looks like they did version 1 then stopped before finishing the details.    Shortcuts must work for this app to be fully functional",3,headspace-meditation-sleep,493145008,
Tried several apps and this is the clear winner,False,Omfgitsheather,2021-05-06 13:04:13,"I signed up for my free trial in fall 2019, at the recommendation of a family member. I thought it was great, but wanted to shop around and see what all of the individual meditation apps had to offer, but Headspace is the clear winner. I signed up for an annual subscription (and I hardly ever do that). The general organization of the interface is great in its simplicity, because you can easily toggle between the app’s different features with the navigation on the bottom, and there’s only five options so it’s aesthetically pleasing to me. Speaking of aesthetics, the graphics shown while meditating are very uplifting, simple, and non-intimidating. I think apps like Calm that have the ability to show/do nature sounds are cool, but that feels like too many decisions as to what graphic to choose. The soft Australian accent that Andy has is very calming but feels more non-judgmental, like an old friend who’s just being your guide through the meditation. The daily video content pieces are cool, too. So far I’ve learned about how music affects the brain and about snake plants. This app leaves me feeling inspired and refreshed. 10/10. Great job, devs!",5,headspace-meditation-sleep,493145008,
Sleepcasts!,False,Nik2378,2021-02-12 11:26:40,"I use this app exclusively for the sleepcasts, so that’s the only feature I can comment on.
I love them, and they’re the only way I can fall asleep now. I wish they were a bit longer, but I understand it’d be hard to record a story that’s hours long. I have a couple suggestions: When a sleepcast ends, can it just skip to the next sleepcast (or at least have that be an option in settings?). Also, I can only fall asleep to male voices, so I’m very limited to a few sleepcasts.. it’d be great if all stories were recorded by both a male and a female and we could choose which we’d like to listen to. Lastly, I really would like a setting where we can skip the breathing wind-downs. If not, then at least have a trigger where when you’ve already done 1 wind-down, then the next sleepcast you listen to should automatically skip this part. It’s frustrating wanting to dive right into a new story and having to go through the same breathing session you just did. I really hope you hear my input and take it into consideration! If not, I’ll send them via email to developers. :)",5,headspace-meditation-sleep,493145008,
My head is still on my shoulders...,False,@-yaya69,2020-06-23 19:47:47,"I always stressed myself out easily and then COVID came along... I had just gotten divorced, was a single mom of 3, schools had closed and the remote learning started, eventually I was furloughed from my job. I honestly didn’t know what to do with myself. I was trying my best to help my kids with school but I was having such a hard time getting out of bed because I was feeling so down. I couldn’t sleep, my mind was constantly racing, I didn’t know what to do with myself. I kept seeing the ads for headspace (free for the unemployed) and one day I decided to download the app. I am so glad I did. Ever since I started I’ve been able to slow my thoughts down. I don’t get so upset/angry as quickly as I used to and I’ve finally been able to sleep at night. My kids also enjoy meditating with me in the evening and now they ask me every night to listen to headspace when it’s time for bed. Thank you Headspace for helping me keep my sanity and allowing me to feel better physically, mentally, and emotionally.",5,headspace-meditation-sleep,493145008,
Essential,False,Logan Rotluff,2021-05-30 13:29:57,"There are many tools available to help anyone who puts their mind to easing and alleviating their mind of a bunch of “small stuff”. Headspace is one of those tools. Andy, or any of the two female instructors, do an awesome job in guiding you through the meditation process. There are a variety of topics: Happiness, Anxiety Management, Anger Management, and so on, which are featured as courses, ranging from 10-30 sessions, each one being as short as 10 minutes or up to 20. The teachers start each session talking about a certain aspect, a thinking pattern, that applies to the topic in question, which lasts about one to two minutes, as a means of providing a tangible mental visualization to accompany you in the session as it begins.

Aside from these courses, the app features exploring meditation fundamentals such as breathing, visualization, and so on. Q and A sessions, “Start the day” routines, this app is really, really good. If you want to experience a more guided meditation as opposed to only music accompaniment as featured in “Calm”, give “Headspace” a try. You will not be disappointed!",5,headspace-meditation-sleep,493145008,
The best for a grieving mom.,False,Scrapmypic,2020-03-21 20:29:24,"I am grieving the loss of my adult son. The series on grieving has helped the devastation I am experiencing. The mans voice is so kind and full of compassion. I have tried every one of these types of apps. For me this is the best one. There is a lot of content here. Thank you so much to the app makers and the man who does the the grief meditations.

So it has been a year an half since I wrote that and I can say this is hands down the best of this sort of app. Thank the universe I found it. I have used many of the meditations and the sleep content. They just keep making the app better and better. Andy I have learned is the male voice on most of the meditations. His compassion comes thru his voice. There is so much wisdom and love here. I’m gushing a bit but I am just so grateful for this app. I believe there is something for anyone and everyone.
Is is well worth the price. They are so good at adding new content and covering all most any situation you might find your self in. Thank you Andy you help me get thru each day and sleep at night.",5,headspace-meditation-sleep,493145008,
I love Headspace !!!,False,Pamela JL,2021-01-12 18:06:32,"I have been using the Headspace app for about 5 years now.  From the very beginning I felt I was embarking on a magical journey - a journey that would teach me the tools I needed to lift myself out of feelings of constant fear and inadequacy.  Tools that would help me open my heart and mind to new possibilities and a more peaceful and compassionate approach to myself and the world. With the gentle and insightful guidance of Andy and the other practitioners, I feel safe and supported in my efforts to face and walk through difficult times.  I am able to embrace joy and be present for myself, others and my life as it is today.   It is always going to be a daily practice, as it should be, for that is the essence of being in the moment.  I am also thrilled at how Headspace has evolved to include so many different guided topics for meditation as well as adding exercise to the program!  What better way to integrate mind and body.  Thank you all for what you have done to create Headspace and allow it to thrive!  In gratitude,  Pamela Llewellyn",5,headspace-meditation-sleep,493145008,
Ok but could be better,False,odd numbet,2021-06-27 15:56:22,"personally, i love this app. the meditations are really helpful for my crippling anxiety, and i thoroughly enjoy watching the daily videos and doing the mindfulness moments. i also really like the new updated version with the dark mode and everything. however, i’m not as happy with headspace as i thought i would be when i got the app. i’m still a kid, and i’m not going to spend money to get headspace+, so i’ve had the normal version, however i’m very disappointed about the lack of content i have unlocked. i can only do a few meditations and they’re limited. this is very upsetting to me, and i’ve heard that others have felt the same way. i’m considering deleting headspace for exactly this reason: there’s not enough free content. soon enough i will run out of meditation sessions. i am not satisfied with this app. PLEASE unlock more content for those who don’t want or CANT spend money on headspace+!!!! you might lose this costumer to your app for just that reason. i need more content because my anxiety lately has been through the roof, so i would be excited to try out some new meditations but i CANT. please fix this!!!!!",3,headspace-meditation-sleep,493145008,
Great features; trouble with record-keeping,False,Carlyey,2020-12-17 21:03:38,"The meditations are great, and I’ve been finding the focus music feature really great for listening while working; it’s at least as good as the ambient music I typically listen to. My only complaint at the moment is that listening to the focus music counts toward minutes meditated, and then to Apple Health mindfulness minutes if you have that option on on. So if I listen to 3 hours of focus music while working, plus one morning meditation, it seems like I’ve meditated for 185 minutes, when I’ve really only done 3. And it seems to count the music toward my streak, too, which doesn’t really help me keep track of my progress in building a habit of mindfulness. Listening to focus-helping music while working—something I’ve always done—is totally different than actually meditating.

It’s not a dealbreaker, of course—I can manually keep track—but it would be nice if the app let you distinguish between what’s real time spent with mindful practice, and what’s just listening to music while working.",4,headspace-meditation-sleep,493145008,
Changed My Relationship With Anxiety,False,rachelnotfromfriends,2021-02-26 14:04:06,"Have been using this app for years, since 2017. It has completely changed the way I manage my anxiety. Not only do they have a course for anxiety, but there are also SOS meditations that are super helpful when you’re in the middle of panic mode. Since I first got the app they have added so many new meditations, courses, and even instructors. It has grown with me as my meditation practice has grown and it is always a great day when I use the Headspace app. 
As far as the price it is definitely on the expensive side. I first started using the app when I was in college and was lucky to be in a financial situation where I could afford it. I know they are offering it for free to those who have been affected by the coronavirus. However, my one critique is that they should make a student version, so more people will have access to this life-changing app. 
Thank you Headspace for this amazing product! I will continue to be a customer for many more years, I am sure.",5,headspace-meditation-sleep,493145008,
Was hoping for more,False,Drnkdrrck,2021-06-09 05:23:23,"Not every technique works equally well for everyone, and I feel like they put an over emphasis on the body scan (which is admittedly one I’m not particularly fond of). They have courses like “dealing with anxiety” or “managing anger”, but they’re all essentially the same: “here’s some basic advice you’ll get from every therapist for 30 seconds, now let’s do 20 minutes of body scan.” I don’t feel like they really apply the meditation to the issues often enough, but the advice is decent.

Also, in the beginners courses they mention a lot of abstract concepts that are supposed to help you but they don’t explain them very well or reinforce them very often. So half the time I find myself thinking “Wait, what does he mean by that again and how was I supposed go about it?” 

There are enough great meditation pointers though that it’s been super helpful to get over some hurdles I was struggling with and the voices are very relaxing. Unfortunately the content is a bit sparse given how much stuff they have posted and it can be difficult finding the gems when there’s so much filler to wade through.",3,headspace-meditation-sleep,493145008,
Good and bad in some ways,False,Maddie 678,2020-12-03 03:57:18,"This is one of the most amazing apps i’ve ever tried for sleep, meditation and all of the things it offers. It quite an amazing app and has helped me calm down when I’m feeling angry, sad, or even when I’m TOO excited. This app has helped me with my anger issues that can happen often and that’s great but there are many problems at least for me in this app. One thing is that most of the things on this app are premium version, meaning that for those who don’t have much money, or for those who don’t want to spend their money there isn’t much variety to choose from. Another thing that happens is that at least for me it glitches and says it’s a free soundtrack or anything like that, But then it says “Sorry this isn’t working right now” And when I go to my recents it says its premium. I think this is a problem because it’s practically wasting our time trying to get the sound/music to play. That glitch may not be for everyone but it definitely bothers me. Headspace owner of your reading this, PLEASE fix these bugs!",4,headspace-meditation-sleep,493145008,
Life changing!!,False,GambaFFesta1994,2021-01-24 04:01:21,"Where do I start? This has changed my life in the best way I can ever imagine! I deal with a lot and i mean a lot (depression, anxiety, stress, etc & the year 2020). I was in such an uncomfortable place with myself  like i wasnt happy with myself, and i was my worst enemy and then I found Headspace on Netflix and I thought why not. I was never good with mediation I’ve tried it before and I thought it was a waste of my time, but wow was i wrong with this. It’s so much different and then i found the app and everyday i mediate! I’ve been working on my anger, my depression, focusing on me. Being kind to me and I’m telling you this has helped me so much. Each recording is about 10 - 15 minutes and Andy walks you through the mediation, helps you to focus on what you need to take care of yourself. 
If you’re having trouble with yourself or feeling like things dont go your way, please try this. Honestly I haven’t had a day where I’m feeling uncomfortable with myself or feeling depressed. It’s worth it",5,headspace-meditation-sleep,493145008,
Loved at first,False,nizismom,2020-04-28 00:59:49,"I loved it the first day I tried it in February 2020 and purchased a year long subscription. I use it several times a day and my four year old and I fall asleep to the sleep casts every night.  I cope with severe anxiety on a daily basis and during the pandemic this has been extremely challenging. Three nights ago I really needed my favorite windown and sleepcast and they are all locked and it’s asking me to start a free trial if I want to use them. I have followed all the advice on the help section to try to restore my purchase but even under my subscriptions it shows I am a subscriber and it doesn’t expire until feb 2021. I’ve emailed headspace and have heard nothing back and also tried the chat and it just feeds me the same unhelpful help and then prompts me
to email them again. If I get this resolved I’ll update and add more stars but I’m extremely disappointed right now and not happy with the lack of customer service. Maybe I will switch to Calm",5,headspace-meditation-sleep,493145008,"{'id': 14974073, 'body': 'We are sorry for the trouble with accessing your account! Could you please provide us with your email reference number so we can follow up with you?', 'modified': '2020-04-28T18:57:36Z'}"
Good but needs some work,False,💙💙💙💙💙💙💙💞,2020-01-18 01:37:06,"Headspace has definitely became one of my go to apps on my phone. But there are some things that I really dislike about this app. For one, you can only get one pack thing which is the basics. So what if I finished the basics. Where would I bring my daily meditation to if there are no more things to do one this app. Also, I think you shouldn’t have to pay for almost ALL the things on this app because really, this app is to help settle the mind, I feel this app is just trying to get me to pay some money. I almost feel like deleting this app when I finish the basics because of the lack of things I can do. All I would like for you creator to do, is make some of those pack thingys free like the basics. Not have almost all of them be for a membership vip thing. I really want to continue using this app but if this problem isn’t fixed I might delete it. I don’t want to but it might be my only option. Thank you for creating this app at least. 

Your “go to” reviewer,
Crazyacts123",4,headspace-meditation-sleep,493145008,
Incredible tool for mindfulness,False,darkbloomfoto,2021-01-19 21:14:03,"I’m still fairly young, 24 years old, but in my life so far I’ve acquired a lot of emotional stress. Clinical anxiety and depression, mostly stemming from trauma. But also just becoming aware of aging and time. Cosmologically feeling small and insignificant, that life is pointless. Existential anxiety has seemed to take hold of my mind every day, exacerbating the anxiety and depression I already suffer from. 

This app is something I’m truly grateful for. (Along with the series they recently added on Netflix!) More than aware there’s no cure or abolition of negative thoughts and feelings in their entirety. Realizing it’s all part of the human condition and important to learn how to be aware and navigate stress. Headspace is easy to use and perfectly introduces meditation to people like me who never thought they needed it. Especially when it comes to attention/focus, the guided meditation is exceptional. The interface is clean and smoothly designed. I can’t recommend this enough!",5,headspace-meditation-sleep,493145008,
Wonderful and awesome but could be even better with simple changes,False,Hoover62,2020-01-16 18:22:33,"I love this program (paid). The content seems endless. There is something for everyone and every situation. I have tried many other meditation apps and this one far and away has the best content. There are a few limitations in the app that could be improved with simple changes!
1. Allow more features with the Buddy thing. Right now all you can do is see when your busy last used headspace and send through the app with no notifications one of a few pre written messages. Why can’t we talk directly with them? Suggest meditations we think they might like? Say original comments?
2. It would be great if there was a clear space that collected everything you’ve ever done so you can go back and find it. There is a “recents” section, but it’s not comprehensive and it changes. 
3. Allow family interaction through the app for those with family plans.",5,headspace-meditation-sleep,493145008,
