title,userName,rating,isEdited,date,review,app_name,app_id,developerResponse
Best APP ever for depression,Ms JoLynn,5,False,2020-11-12 03:18:32,It teaches and makes ya laugh.   I’ve tried others with no success and now I can’t wait for the next challenge,happify-for-stress-worry,730601963,
"This is great exercise for the mind, body and spirit!",ChinaryK,5,False,2020-11-14 14:48:21,"I am enjoying Happify! It is helping me to improve area area of my life. I feel happy, healthy and whole.",happify-for-stress-worry,730601963,
No login on app,quack.addict,1,False,2021-02-27 04:28:53,"App will log you out on its own after inactivity, but you can’t log back in afterwards. Gives you an error message. Only way to log back in is to repeatedly uninstall and reinstall the app. What a waste. I was genuinely enjoying the content I’d gotten to use so far.",happify-for-stress-worry,730601963,"{'id': 21475917, 'body': ""Oh no! We sincerely apologize for the troubles you've had with the app. We'd be happy to take a look into this for you, please contact us at support@happify.com and provide us the username and email associated with your account along with the error message you receive. Thank you!"", 'modified': '2021-03-05T16:11:22Z'}"
Thank you so much Happify!,balinese kitty,5,False,2020-06-23 01:07:19,"This app is a must because anytime you are feeling angry, worried, or stressed Happify is there for you!",happify-for-stress-worry,730601963,
Expect spam,The Scruffy cat,1,False,2021-04-14 19:39:56,I signed up for this app and with in one day I was hit with tons of spam. The email I used is only for places I know will not spam me. I have two other emails for those kinds of apps. Very disappointed they would sell my email.,happify-for-stress-worry,730601963,
Doesn’t work.,AvecGuillotine,1,False,2020-05-08 16:52:14,"I tried it online and enjoyed it, so I downloaded the app. But I can’t even get the app to work — hitting any button gives a server error, and the one time I managed to get a login screen it said my login was incorrect. Useless.",happify-for-stress-worry,730601963,"{'id': 15494557, 'body': ""We're sorry you encountered an issue with the app. If you email support@happify.com, our team will assist you in figuring out what the problem is."", 'modified': '2020-05-22T14:15:35Z'}"
Enjoying Happify but,jenlee1,3,False,2020-04-15 01:45:15,"I enjoy the Happify app, but disappointed the full version is so expensive. What I have used has been useful.",happify-for-stress-worry,730601963,
Enjoyable,TCallsMe,4,False,2020-04-04 16:47:57,I'm in between therapists now and this app along with activities helps.,happify-for-stress-worry,730601963,
Didn’t work for me,mizzxkitty,1,False,2020-11-07 12:01:00,The app has helpful things in it but it wouldn’t let me set up a timer to remind me to use it at the end of the day and half the stuff needs to be done at the end of your day,happify-for-stress-worry,730601963,
Not free,Mabyl,1,False,2020-10-09 23:54:56,"Says this app is free, yet you can only go so far before it asks for money. Just another social media app looking for money. Will not recommend am disappointed in the false advertising of this app.",happify-for-stress-worry,730601963,
App doesn’t work well,Awake sleeping,1,False,2020-12-03 22:58:16,"I had really high hopes for using this app but it just doesn’t work well on my iPhone, whenever I try to login it just gives me an error.",happify-for-stress-worry,730601963,"{'id': 20931940, 'body': ""We're sorry you encountered issues with our app. You may email us at support@happify.com, we would like to look into this issue further."", 'modified': '2021-02-08T15:24:05Z'}"
Disappointed,supreme89,1,False,2021-02-21 00:04:24,This app is designed to make you more stressful and frustrated. Somewhat in like with other reviewers here. Deleted after a while.,happify-for-stress-worry,730601963,"{'id': 21215817, 'body': ""Hello, thank you for taking the time to send us a review. We'd love to learn more about your thoughts and if you'd like to send us a message at support@happify.com. Thank you."", 'modified': '2021-02-22T14:28:55Z'}"
Awesome App!,newmee,5,False,2021-02-23 01:38:51,Gives great tools to reduce stress and increase positive behaviors!,happify-for-stress-worry,730601963,"{'id': 21269148, 'body': 'We are pleased that you enjoy the app. If there is anything we can do for you, just let us know at support@happify.com! Have a wonderful day!', 'modified': '2021-02-24T15:34:36Z'}"
Can’t login,DesireeBV,1,False,2020-01-06 03:03:27,"Didn’t keep me logged in. When I clicked “login”, web browser was opened and a field for progeny ID was only option.",happify-for-stress-worry,730601963,"{'id': 12750699, 'body': 'Hi there,\n\nSorry you encountered some issues with our app. Please email support@happify.com and someone from our team will gladly assist you!', 'modified': '2020-01-06T15:30:40Z'}"
People pay for this?,GroovyGoddess,1,False,2021-05-01 21:58:56,Seriously!?! I can’t get customer support to answer my questions. There are no tutorials on how to. That would be nice. 😑,happify-for-stress-worry,730601963,"{'id': 22591329, 'body': ""Oh no! We sincerely apologize for the troubles you've had with the app. We'd be happy to take a look into this for you, please contact us at support@happify.com and someone will assist. Thank you."", 'modified': '2021-05-03T12:44:23Z'}"
Cookie cutter app,ztomK68,1,False,2020-11-19 00:48:16,It immediately started asking me how I felt about my job and my family.  I’m retired and don’t have any family.,happify-for-stress-worry,730601963,
Did not work for me,meganthepagen,1,False,2021-05-24 20:25:10,Not my way of life now just want to delete and unsubscribe to emails. Not easy,happify-for-stress-worry,730601963,"{'id': 23048652, 'body': 'Hi, we are always looking to improve the experience for our users. Please feel free to contact us at support@happify.com and let us know more about your experience. Thank you!', 'modified': '2021-05-27T15:10:29Z'}"
Works poorly on iphone,agtres,1,False,2020-09-25 20:56:55,Maybe for a middle schooler. Pop the balloons with positive words. Whatever,happify-for-stress-worry,730601963,
Changed my life,GabyGirly,5,False,2020-09-28 01:16:22,OMg ITS amazing. Wow. Just wow.,happify-for-stress-worry,730601963,
Free Therapy,1 hand,5,False,2021-04-23 13:42:42,I love this app! It is like therapy for free!,happify-for-stress-worry,730601963,"{'id': 22462187, 'body': ""Thank you so much for the review and we're glad Happify is helping you along on your wellness journey! If there is anything we can do for you, just let us know at support@happify.com. Have a wonderful day!"", 'modified': '2021-04-26T13:19:49Z'}"
