review,isEdited,userName,date,title,rating,developerResponse,app_name,app_id
"I love love love smiling mind! I was first introduced to mindfulness when I downloaded the app Calm. I loved it and it was a great introduction, but you had to pay money for the full experience so I knew that I needed to look for something else. That’s when I found smiling mind. You don’t have to pay, and there are like hundreds of meditation sessions! It doesn’t even matter what age you are. There are sessions for kids, teens, adults, and everyone else. The voices in the sessions are soothing and engaging. I recommend smiling mind for everyone! It is an amazing app!!",False,ILoveCalmApp,2020-05-26 23:10:28,Amazing!,5,"{'id': 15910305, 'body': 'Thanks so much for this wonderful review!', 'modified': '2020-06-11T00:48:28Z'}",smiling-mind,560442518
"So I started mediation after a little bit of brief interest and my first pick was Headspace bc it was the only one I knew of, but I didn’t like the paywall of it so I looked for alternatives, and found this. 

100x better than Headspace first and foremost, very user friendly, and I love how it’s a nonprofit! I’m getting more comfortable with the program and I love how it’s set up.

I would give it five stars, but I was hoping for a dark mode, lol! I have eye strains and it helps a bit personally so if that was a potential feature to be added then great! Otherwise, amazing app! Nice job developers!",False,Gym Rita,2020-07-19 00:51:04,Great alternative + new user friendly,4,"{'id': 16916899, 'body': 'Thanks so much for your wonderful review. We really appreciate your feedback and your suggestion for dark mode has been passed onto the team. Keep up the great work!', 'modified': '2020-07-28T06:04:46Z'}",smiling-mind,560442518
"I've been using this app for a while now and have never had this problem. It won't open! I tried deleting and re-installing and I'm still having the same problem. It normally works just fine. 

Were it working normally my review is that I really enjoy this app. I use it most often for falling asleep at night and for a quick reset when I'm overwhelmed or stressed. I'm fairly new to meditation so I feel like it has been perfect in getting me accustomed to it. It gets five stars from me once I can open it again.",False,Pulsibaby,2020-08-17 12:25:17,Refusing to open? Other than that it's great,4,"{'id': 17637698, 'body': 'Thanks for sharing this, has the app opened again? If not, please reach out to info@smilingmind.com.au and someone from our team will help you out!', 'modified': '2020-09-02T02:13:03Z'}",smiling-mind,560442518
"I’ve used this app for 2-3 years now, but the last 2-3 months it keeps alerting about network errors and I have to manually tap the screen (sometimes multiple times) for the bubble (loading) screen to disappear and be able to select anything. Which after almost every time I select anything I have to manually tap the screen to dismiss the bubble loading screen. It’s been quite annoying the past few months when I use this app. Once they fix these issues, I could change rating to 5 stars",False,Vol4Life27,2020-08-28 15:17:43,Good mindfulness app but very buggy lately,3,"{'id': 17637773, 'body': ""I'm sorry to hear this, please reach out to info@smilingmind.com.au and someone will help you out!"", 'modified': '2020-09-02T02:17:11Z'}",smiling-mind,560442518
"Really solid range of meditations, including developmental tools to get started with little commitment and to gradually see the benefits.  It’s been part of my routine for years.

New app has some nice enhancements and the usual bugs with a major upgrade (won’t let me change voice gender at the moment) but the apps track record on fixing such things is good.  Stick with it.  The benefits are worth the investment.",False,scryer99,2021-03-31 15:04:16,"Great app, despite occasional bugs",5,"{'id': 22091770, 'body': 'Thank you very much for the kind words!', 'modified': '2021-04-07T06:56:17Z'}",smiling-mind,560442518
"DISCLAIMER: This app is great for guided meditations. I love the programs and the voice and the actual use I get out of the app.

With that in mind, I have been running into loading issues as well as the app refusing to open even after turning my phone off or even deleting the app. I get lots of “timed error” messages which is confusing because the WiFi/data work for every other app on my phone and load just fine. The main reason I wanna give this review is so that hopefully someone will take notice and fix the issue I’m running into. I love the content. I just think the software needs tweaking. Thank y’all!!",False,griffinmj,2020-08-14 03:53:24,Software Issue,2,"{'id': 17637689, 'body': 'Thanks so much for sharing this and I am sorry to hear that you are running into these issues. Please reach out to info@smilingmind.com.au and someone from our team will help you out!', 'modified': '2020-09-02T02:12:08Z'}",smiling-mind,560442518
"I have been using this app extensively and I really enjoy using it. However, I’d love for there to be an option that shows how many minutes a day you’re actually meditating for since the “meditation minutes” are just the total time used. I’d like to see an option that tells you the actually number of minutes done daily. Besides that, this app is amazing! Thank you!",False,MindfulEd,2020-04-23 07:14:41,Great App. Just one suggestion.,5,"{'id': 15144132, 'body': 'Great idea, we will pass it onto the team. Thanks for the 5-star review!', 'modified': '2020-05-07T01:28:47Z'}",smiling-mind,560442518
"Thank you so much for finally doing this. For finally having a meditation app that is truly free and ad free that actually helps. One suggestion; I font know how simple it would be but I would really like if this app were comparable with the health app on Apple phones because I manage may things form there and would love to track my “mindful minutes” from there. Again, thank you.",False,Ally Ullenius,2020-01-10 05:15:54,Thank you,5,"{'id': 12872359, 'body': ""Thank you for sharing such a positive and glowing 5-star review! As a 100% not for profit providing a free app, we often have many more features which are requested by users than we can't immediately deliver with our resources. Because of this, all requests are reviewed and then prioritised based on how well they can help support us achieving our vision."", 'modified': '2020-01-13T03:56:28Z'}",smiling-mind,560442518
I never write reviews but this app is definitely worth the five star review. Every meditation app I have used always had in-app purchases for me to gain the full experience. This app is AMAZING!!! Don’t waste your time gaining the partial meditation experience or spending money on the full experience when this app gives you the full experience for FREE. It is so versatile I can’t can’t wait to finally be able to meditate on a daily basis.,False,lillytunes7890,2020-03-27 03:29:16,THIS is it!!!,5,"{'id': 14373200, 'body': 'Thanks so much for your wonderful review, we are so glad to hear how much you enjoy our app!', 'modified': '2020-04-01T00:55:37Z'}",smiling-mind,560442518
I've used this app for a while. The content was always great the but layout/design was a bit confusing and overwhelming. Not anymore. I opened the app recently dkr the first time in a couple weeks and was excited to see a whole new design. It's a huge improvement and much easier to use. I feel like this is now on par with the big paid apps like Headspace or Calm.,False,Chrisobs13,2021-04-26 13:01:48,Update is huge improvement,5,"{'id': 22581449, 'body': 'Thank you so much for sharing such a wonderful review! We are glad to hear you are enjoying the new app!', 'modified': '2021-05-03T03:29:00Z'}",smiling-mind,560442518
"I was browsing for meditation apps to help me to focus on myself and my mental health. I came across this app and can not be happier.  First of all, it's free!!! It really is free and it's literally a step by step course on meditation and mindfulness.  I'm a week into it and I immediately feel clearer. I have never felt this way about an app. I have to thank the makers of this app for helping me to understand how valuable it is to just he still and quiet.",False,Jenny96,2020-01-14 01:09:38,A BLESSING!,5,"{'id': 12916357, 'body': 'We are so glad that our app is helping you out! Thank you for sharing your review, Happy Meditating!', 'modified': '2020-01-14T23:08:48Z'}",smiling-mind,560442518
This is a great option for both children and adults. This app provides a variety of meditation choices and is very user friendly. Setting up an account was easy and the graphics are visually pleasing. I enjoyed exploring this app for not only personal usage but will recommend this for my students and colleagues to use. This app includes relevant languages for different regions in Australia but would benefit from adding additional languages for other areas of the world.,False,mayardiamond,2020-01-30 17:24:40,Great app!,4,"{'id': 13278013, 'body': ""Thank you for the lovely review – it's so nice to hear how much you are enjoying the app! \nAs a not for profit we don't always have the resourcing to work on all feature updates that we'd like to, having said that, creating content in other languages and voices is something we are actively investigating. \nThanks again and happy meditating!"", 'modified': '2020-02-04T04:19:46Z'}",smiling-mind,560442518
I was always in disarray until I have this a try. I’ve always had trouble sleeping but this has specific meditations that get me right to it. Listening to one of these can change my whole day for the better. So easy to use and approachable. The one thing is I’m always told to “find a seat” and all that but I rarely do just out of personal preference.,False,coconimbus,2021-03-22 05:46:21,Changed My Life!,5,"{'id': 21874279, 'body': 'Thanks for sharing your story and review!', 'modified': '2021-03-26T02:09:13Z'}",smiling-mind,560442518
"The best meditation app that exists on the market today. I cannot express enough gratitude for the team behind this life changing app. The sleep meditations have really helped me through my sleep issues and I cannot imagine my life without this app. All the guided meditations are amazing, especially the one titled ‘oceans’. Highly recommend, 5 stars!!",False,k7150m,2021-05-13 05:56:42,Highly recommend. Life changing app,5,"{'id': 23143040, 'body': 'Thank you so much for this glowing 5-star review!', 'modified': '2021-06-02T04:40:15Z'}",smiling-mind,560442518
"this app has a minimalistic design and i love how it looks and how to navigate the app. it is amazing how it’s literally FREE. like, completely! there’s no ads either! the one thing i don’t like is that the exercises are a bit repetitive. what i mean is there is one exercise, for example the belly breathing with the bubble, it repeats about 7 times over and over again. thanks for reading and i hope you have a great day! 😊",False,LunaEva2009,2021-05-25 11:01:53,repetitive,4,"{'id': 23142705, 'body': 'Thanks so much for this review!', 'modified': '2021-06-02T04:27:48Z'}",smiling-mind,560442518
"I’ve used and paid for all of them: headspace, calm, asana, and more I cannot recall. This is by far my favorite. The UI is super intuitive. The colors are friendly. There is a lot of really good content. I especially like that the music continues after a session, it helps when I listen to take a nap and the sound keeps playing. Thank you Australia!",False,skwidney,2020-10-13 02:02:56,Really thoughtful app!,5,,smiling-mind,560442518
"I have been using Smiling Mind for a couple of years already. I have seen big benefits from using it daily and on particular occasions. The big advantage is that the app is free and has a lot of meditations available for different age groups or profiles. 
Definitely recommending it to any person wishing to improve their wellbeing.",False,Freeman85,2021-05-12 07:17:30,Recommend the app,5,"{'id': 23143054, 'body': 'Thanks for the wonderful review!', 'modified': '2021-06-02T04:40:57Z'}",smiling-mind,560442518
"Hi, when I first downloaded the app there was very limited meditation sessions in the app itself. I think it’s a good start if you want to know how to manage different areas of your life. I thinks it’s cool how it’s free but still it’s very limited I was expecting it to have more sessions in these but I guess not.. sadly one suggestion I have is to include more in the app and like get new meditation sessions everyday so that the app is fresh and we can learn more. Compared to other apps on the App Store there are a lot of meditation sessions to choose from so yeah.",False,floofy chipper,2021-05-15 12:53:52,"Very disappointing, not worth it",1,"{'id': 23142979, 'body': 'Thanks for the feedback. As a non-for-profit offering a free app we are proud to say that there are hundreds of meditations to choose from in our app and hope that you can find the right thing in there for you!', 'modified': '2021-06-02T04:38:28Z'}",smiling-mind,560442518
"I have been using Smiling Mind for a bit over a week and am so pleased with the presentation and depth and breadth of content. I have tried other mindfulness apps, but this one really suits my style...and the soothing Aussie accent of the presenter just makes it even more of a lovely experience!",False,PenelopeQ,2020-05-30 16:43:39,The mindfulness app the world needs right now,5,"{'id': 15910325, 'body': 'Thanks for sharing this great review!', 'modified': '2020-06-11T00:50:16Z'}",smiling-mind,560442518
"I really like this it’s been helping me A lot with my anxiety I love  how it’s all ages app kids to grown-ups and  elderly’s. Is a great app if you have anxiety I really recommend it if you do it’s so nice I can’t  say 
anything about it I just got done taking one classes and I’m feeling so relaxed right now so yeah",False,unicornflowercandyflowercandy,2021-05-19 22:14:58,Nice if you have A big amount anxiety,5,,smiling-mind,560442518
"This has been the best mediation app I have found. I really appreciate the group that put this app and these programs together. It has been very helpful in my life. I haven't done 10 minutes a day. If I did this consistently, I think my mental state would improve even more.",False,Nanclo,2020-09-06 03:28:38,Thank you,5,"{'id': 17942776, 'body': 'Thanks so much for sharing!', 'modified': '2020-09-18T00:56:33Z'}",smiling-mind,560442518
When I first downloaded this app I was full of anexiety and General confusion on the course of my life now I can focus I’m happy and I’m relaxed just a little bit of mindfulness every night is absolutely insane what can change the mind thank you smiling mind you’re the best!!!,False,ben7354,2020-07-12 05:31:14,Changed my life!,5,"{'id': 16683515, 'body': 'Thank you so much for sharing this! We are so glad to hear how mindfulness is playing a part in your life, keep it up!', 'modified': '2020-07-17T00:23:49Z'}",smiling-mind,560442518
"just when i thought that there’s no app that doesn’t require any money, this showed up. i feel so lucky to have this one. i’ve been trying to meditate back then and i’ve tried so many apps but it always require a subscription in which i don’t have the money to pay for. thank you so much to the developers and to the amazing people behind this app! it helped me so much and thank you for introducing mindfulness to me. im looking forward to the future updates for this app! once again, thank you.",False,Poyinnnn,2020-07-22 13:46:50,truly amazing!,5,"{'id': 16916943, 'body': 'Thanks so much for this wonderful 5-star review!!', 'modified': '2020-07-28T06:06:11Z'}",smiling-mind,560442518
"I have tried several apps for meditation but after I tried this one I was happily hooked! For me, it is easy to navigate, well thought out, and a necessary addition to my daily self-care routine.",False,Worker man,2021-05-23 01:18:11,Thank you!!!,5,"{'id': 23142759, 'body': 'Thank you for the 5 star review!', 'modified': '2021-06-02T04:30:34Z'}",smiling-mind,560442518
"I downloaded the app, set up an account and it does nothing but show me an expanding circle in the middle of my screen. When I click on the screen it shows a dashboard but I can’t click on anything in the dashboard, then times out. It seems very buggy. I am looking for a free meditation app and was hoping this was a good one from the other reviews but it will not work for me and is causing stress and frustration not relieving it.",False,BarbPol,2020-07-27 12:19:59,Wouldn’t work for me,1,"{'id': 16917138, 'body': 'Sorry to hear this is happening, please reach out to info@smilingmind.com.au and someone from our team will help you out.', 'modified': '2020-07-28T06:13:30Z'}",smiling-mind,560442518
"I have been using this app for about 2 weeks now,after some family troubles Sleeping became a problem for me.I came to this app for free guided meditation,and it works well!",False,OwenOwengoin,2020-05-14 05:22:53,Good could use a bit of work,5,"{'id': 15527875, 'body': 'Thank you for sharing!', 'modified': '2020-05-25T01:39:22Z'}",smiling-mind,560442518
I absolutely love this app that why I am so sad that it only let me use it two days and now says can’t log in error. I hope there is a way to fix this because this app is very helpful,False,shadowqueen911,2021-04-15 01:12:02,Love but won’t let me back on after two days,4,"{'id': 22308257, 'body': 'We apologise for the bug that occurred, our development team has solved this problem. Please update to the latest version.', 'modified': '2021-04-18T23:00:24Z'}",smiling-mind,560442518
"I have tried several meditation apps for the iPhone, some are very good...alas all the ones I have tried have become a subscription service ( I guess life is a subscription service ). 

This app is different and in a wonderful way:  NO SUBSCRIPTION!  Yes!  

I have been using it for a few weeks now and it has good programs for children and adults. They have beginning meditation through advanced with guided steps the whole way. 

I am very pleased with it.",False,Fishface.us,2020-02-01 17:52:13,Great meditation app,5,"{'id': 13278120, 'body': ""Thank you for the great review – we're so glad to hear you are enjoying our programs!\n\n"", 'modified': '2020-02-04T04:28:45Z'}",smiling-mind,560442518
I loved this app. it helped me fall asleep every night but now it doesn’t work. i’ve tried everything from redownloading it to restarting my phone and or just using my data and not wifi and it still doesn’t work. HELPPPPP PLEASEEE!!!!!,False,Sums up my life,2020-10-19 06:07:51,IT stopped working for me.,4,,smiling-mind,560442518
Love this app but as of lately have been getting lots of error messages. I think the app needs a bug fix update. Thanks!,False,HeatherMil,2020-09-16 12:17:35,Love it but recently get error messages,5,,smiling-mind,560442518
This is the best app for calming an anxious mind. I have struggled with anxiety all my life and Smiling Mind is changing the way I manage my worried mind. I can’t begin to thank the developers behind this app. You are changing lives!,False,Lastuna,2021-03-17 16:42:31,Life Saver,5,"{'id': 21874247, 'body': 'Thank for the 5 star review!', 'modified': '2021-03-26T02:07:41Z'}",smiling-mind,560442518
An amazing app by a wonderful development team. Smiling mind really cares about people and continues to offer an excellent service despite many competitors charging an arm and a leg. TY smiling mind keep up the great work!,False,MissMel01,2020-11-25 00:26:08,Fantastic,5,"{'id': 20387020, 'body': 'Thank you so much for your kind words!', 'modified': '2021-01-14T01:35:27Z'}",smiling-mind,560442518
I’m taking a mindfulness class and I wanted a good introduction to meditation. I’ve enjoyed the bed time routines which help me fall asleep and I love doing a few with my kids (5/7),False,debtisch17,2020-04-15 02:28:21,Beginner to meditation,5,"{'id': 15144333, 'body': ""Thanks for the 5-star review. That's great to hear you are using with your kids as well!"", 'modified': '2020-05-07T01:40:07Z'}",smiling-mind,560442518
"I downloaded the app, went to use it, and continue to get network errors. I see all sessions in “my program” as null. I cannot t view any new sessions, all pages are blank. App is very glitchy - I would appreciate someone reaching out to me to help me fix this. I’ve tried the app both on and off WiFi. I’ve killed the app. I will try removing and re-downloading.",False,BlondeGuppie,2020-09-16 18:10:05,App Not Working,1,"{'id': 17942805, 'body': 'We apologise for the inconvenience. Our app has been experiencing an increase in demand which caused some delay. These have now been resolved. Please reach out to info@smilingmind.com.au if the issue persists.', 'modified': '2020-09-18T00:59:27Z'}",smiling-mind,560442518
Seriously life changing. Struggled with many other apps and different yoga practices. This app has truly changed my life.,False,RAGrigg2020,2020-04-14 07:46:23,Best mindfulness app,5,"{'id': 15144339, 'body': 'Thanks so much for the fantastic review!', 'modified': '2020-05-07T01:40:41Z'}",smiling-mind,560442518
I love this app because it is a free service (I can not afford the fancy meditation apps) and it really has helped me improve my meditation practice and my mental health!,False,hikebabyhike,2020-02-28 18:42:46,Best Free Meditation App,5,"{'id': 13791209, 'body': ""We're so happy to hear our app has helped you!! Thanks for sharing and thank you for the great review. We really appreciate your support :) \nHappy meditating! "", 'modified': '2020-03-02T03:32:30Z'}",smiling-mind,560442518
What you get for free is better than many paid mediation apps on the market.,False,CopperClutch,2021-05-15 22:20:08,Bargain,5,"{'id': 23142768, 'body': 'Thank you for the kind words!', 'modified': '2021-06-02T04:30:57Z'}",smiling-mind,560442518
Great app that is helping me on my meditation journey. Love the narrator’s soothing voice and guided instruction. This is a game changer for me! Thank you!,False,4829BettyGirl,2021-04-04 06:31:08,Just what I was looking for,5,"{'id': 22091731, 'body': 'Thank you so much!', 'modified': '2021-04-07T06:55:25Z'}",smiling-mind,560442518
I never write reviews for apps. This app was the best meditation app i could find. I really love it. It gave me so much clarity and happiness,False,:) ❤ boo boo,2020-05-06 16:31:04,The best meditation app,5,"{'id': 15527804, 'body': 'Thank you so much for sharing!!', 'modified': '2020-05-25T01:36:47Z'}",smiling-mind,560442518
Pretty annoying and takes away from my experience using the app.,False,99bb,2020-01-09 19:37:16,Makes me log in every single day,3,"{'id': 12872353, 'body': 'Thanks for reaching out, a fix has been rolled out for this issue and you should not be logged out of the app at random anymore. Please contact info@smilingmind.com.au if the issue persists.', 'modified': '2020-01-13T03:55:48Z'}",smiling-mind,560442518
Thank you so much for taking care of our minds!,False,Безумный Макс4,2020-09-21 16:24:22,Appreciation,5,,smiling-mind,560442518
"This app was great until it totally stopped working. It just keeps say, “User not found” no matter how many times I try to login, create new account, etc.  It’s very frustrating and disappointing because I loved  this app.",False,Barb1939,2021-04-20 13:22:53,App stopped working,1,"{'id': 22581403, 'body': 'Hi, can you please contact us at info@smilingmind.com.au and we will gladly help you in resolving the issue.', 'modified': '2021-05-03T03:25:14Z'}",smiling-mind,560442518
"Helped me establish my daily meditation habit. Love the dashboard and streak feature, more things like this plz!",True,breaaaaa01,2020-01-22 22:01:26,Great app,5,"{'id': 12872380, 'body': 'We are sorry that this issue is effecting you, we are aware of the bug and working to resolve it as soon as possible! Thanks for hanging in there while we work on it.\n\nEDIT: A fix has been rolled out for this issue and you should not be logged out of the app at random anymore. Please contact info@smilingmind.com.au if the issue persists.', 'modified': '2020-01-13T03:58:03Z'}",smiling-mind,560442518
This app is very helpful and it has helped me a lot 🙏,False,fun ooh,2020-05-13 23:02:46,Thank you I love this app,5,"{'id': 15527869, 'body': 'Thank you for sharing, we are so glad to hear this!', 'modified': '2020-05-25T01:39:00Z'}",smiling-mind,560442518
I have done smiling mind for a pretty long time and it is awesome,False,gamer95608,2020-05-26 00:43:08,Amazing,5,"{'id': 15910297, 'body': 'Thanks so much!', 'modified': '2020-06-11T00:47:45Z'}",smiling-mind,560442518
"Keep it up.
Kindly give us new sessions
Thanks",False,John Valentine Uk,2020-12-05 09:27:31,You're awesome,5,,smiling-mind,560442518
I wish I could connect this to my Apple Health app.,False,Wicked Kamikaze,2020-01-07 05:42:48,Apple Health App,5,"{'id': 12782433, 'body': ""Thanks for the feedback! As a 100% not for profit providing a free app, we often have many more features which are requested by users than we can't immediately deliver with our resources. Because of this, all requests are reviewed and then prioritised based on how well they can help support us achieving our vision."", 'modified': '2020-01-08T02:34:31Z'}",smiling-mind,560442518
"Great app, just need integration with Apple health, so it can count as mindful minutes in the health app",False,Cotegrez,2020-05-09 06:56:01,Great app,4,"{'id': 15527835, 'body': 'Thank you for the great review! We are investigating the possibility of integrating with Apple Health in the future.', 'modified': '2020-05-25T01:37:54Z'}",smiling-mind,560442518
I keep getting error messages when trying to log in,False,Rahb811,2021-04-15 01:58:52,Can’t log in or create account,1,"{'id': 22308254, 'body': 'We apologise for the bug that occurred, our development team has solved this problem. Please update to the latest version.', 'modified': '2021-04-18T23:00:06Z'}",smiling-mind,560442518
im a few modules in and its a great start,False,Memetical,2020-05-09 11:47:25,App is very good,5,"{'id': 15527843, 'body': ""Thank you so much for sharing, we are glad to hear it's going so well!"", 'modified': '2020-05-25T01:38:15Z'}",smiling-mind,560442518
"My only gripe is I wish it wrote to the Apple Health app, the rest of the app is perfect",False,KyleKorth,2020-01-05 15:34:12,Love it,4,"{'id': 12756485, 'body': ""Thanks for the feedback! As a 100% not for profit providing a free app, we often have many more features which are requested by users than we can't immediately deliver with our resources. Because of this, all requests are reviewed and then prioritised based on how well they can help support us achieving our vision. "", 'modified': '2020-01-06T23:29:45Z'}",smiling-mind,560442518
I downloaded this app and it will not let me register. I have heard great things about this app but cannot use it.,False,kanwads,2021-04-15 02:43:27,Will not create an account,1,"{'id': 22308256, 'body': 'We apologise for the bug that occurred, our development team has solved this problem. Please update to the latest version.', 'modified': '2021-04-18T23:00:17Z'}",smiling-mind,560442518
