userName,rating,date,title,review,isEdited,app_name,app_id,developerResponse
SweetnessandLight,5,2020-10-08 14:01:42,Review of Calm,"I really am indebted to Calm for working in my life during this pandemic helping me w my emotions, sleep help and maybe keeping me at a level arresting the memory decline that seemed to be coming on w it’s debilitating force. (I don’t use words like fighting it because most things should not be put into adversarial roles)
     I wish I had more from our guide Jeff on how to meditate. I really relate to his presentation because he seems quintessentially California to me.  I’ve been meditating since I was 6 or so, brought up Vedantist Hindu, born Jewish and am now a ChristianI am an aging hippie. I meditate w my cat on my lap, I simply press my hands on her sides and she grounds me and then is the anchor; her occasionally purring.  
     I love the pictures and the nature scenes. By the way I have been meditating every single day since November.  If I might be of assistance, I’m not sure how maybe I could do a Spark or something. I wish there were Something way to dialog - I have been on the site.  Maybe I could look more deeply into community of Calm. Thanks for saving my life as a process. This is one place I like to be every single day (sometimes night)
     contact me if you are interested in my story of success.",False,calm,571800810,
Hobokittycat,5,2021-02-06 05:53:07,My doctor recommended it to me and I love it,"I’ve always struggled with anxiety and not being able to calm down. All of the features which this app has to offer really help me when I’m studying (I like having soundscapes or music on), relaxing (breathing exercises or meditation), and getting ready for bed (sleep stories and body scans). It is so worth it to pay for the subscription, and even before I paid for the subscription (my doctor recommended the app to me not knowing I had the free version of it for about 3 years already) there was a lot of content available. I love the calendar features as well, and the check-ins are a great way for me to reflect on my day and practice gratitude. 

One suggestion I have though are podcasts! I like to listen to people talking about any subject while I’m doing tasks around the house or just trying to sleep (sometimes the silence is a lot and I can’t focus on sleeping with my thoughts). If you guys made some soft spoken or any kind of podcast in which there wasn’t a lot of yelling and loud talking, I’d totally listen in. (I know there are some masterclasses and lesson type things available on the app already, but they’re just not podcasts)",False,calm,571800810,
Cntygrl,5,2020-01-31 13:10:47,Meditation app w/ you in mind,"I recommend this app to anyone looking for a meditation app. I have even given gift subscriptions to friends looking to mediate because they are so in tune with their clients needs. They are always looking at feedback, offering content to meet needs and finding things to offer I didn’t even know I wanted. The narrators are wonderful & plentiful so if one doesn’t cut it for you, you can change. There is also calming sounds, perfect sleep stories and A daily check in to see how you feel and offer suggestions on what might help. Their Master classes are great for learning things like mindful eating, better sleep, how to relax, and even improving your performance in life. All star narrators like Lebron James, Matthew McConaughey, Lucy Liu, Bindi Irwin, Bob Ross, Jerome Flynn, Leona Lewis, Jason Kidd & more read sleep stories & give advice on how to improve aspects of your life. Sabrina Carpenter & Sam Smith give music mixes to help you sleep or relax. They even have a calm body to help you wake up, warm up/cool down from your workout, reset for the afternoon and wind down for the evening. This app is for your whole body not just your mind. Keep up the amazing work Calm. This app is worth every penny.",False,calm,571800810,
nehdhdhennej,4,2021-03-24 04:42:49,My opinion about the calm app.,"Dear-Publisher,I have had this app for year and I love it so much, it helps me a lot but I deleted the app and downloaded it back and I’m glad I did. I know you may not have the some opinion as me but I think this app is outstanding. If the creator or person that published this app sees this, I just wanna tell how thankful I am that you made this all because it helps a lot. I know that some of the stories cost money but it’s still worth downloading the app. I recommend listening to “sleep paws” and “the secret lagoon” they are both amazing bedtime stories for all ages! There is no age policy for this app if you ask me I just think that there is only one thing that could make the app better which is making the stories a lower price or just making it cost 0 dollars itself because some of the stories look very interesting but I cannot read them because I have to do a trial and that’s the reason why umm giving this app 4 starts! So if the person who published this app sees this review I just wanna say thanks for making my life so much more easier but please Mack some of the stories more reasonable of price because I have read all of the stories which are the ones that don’t cost money.",False,calm,571800810,
Mr.BLT,5,2020-06-09 12:12:18,Hooked on Day 2...,"This morning I woke at 4am in an unfamiliar state of presence and ‘calm’.  I drank water, started reading The Power Of Now (Eckhart Tolle), and after the introduction simply knew in that presence that I wanted to say hello to me, to consciousness, to the now.  I put down the book and played Day 2 - How to Meditate on this app I had just downloaded yesterday.   I am now finding my Homebase, through the calming inspiration narrated by Jeff Warren, and when I opened my eyes I was filled with such peace in this moment (now 5am) that tears welled up.  I embraced this expression of my self and felt pure joy.  This moment demanded a review of this app that I am grateful to invest in after my 7 day trial.  Everything else I enjoy about the logistics, user-friendly UI, and clean beauty of the app itself are all cherries on top of what I gained internally after only two days of meditating...breathing...feeling.  Thank you, developers.  I am humbly grateful for your inspirations.

On that note, my one request would be to incorporate the ability to Bluetooth or google cast the sessions and what not.  I’d love to play it through my tv when resting in bed or Bluetooth speaker when sitting by the pool!  🥰",False,calm,571800810,
DownInNYC,5,2020-05-02 18:52:09,Life changing,"I found this app because someone I know recommend I try it for the sleep stories. I’m
a very busy person and my mind tends to race and sometimes I just can’t turn it off when I’m trying to sleep or relax. I tried one of the free sleep stories and I sacked out pretty quickly. I also tried the free background soundtracks and music when I was trying to concentrate. All worth the price of free admission. But then I tried the mediation. I’d always thought of meditation as new age mumbo jumbo. But many of the smartest people I know all have stories about when they started doing it and how it changed their life. So on a uncharacteristically unbusy Saturday I decided to try the meditation course. And now I realize how simple and profound it all is. It’s essentially just having then skill to not let your thoughts control how you feel. Not letting your emotions get the best of you. Once you can control your impulses, you are a different person. It’s really life changing. This course starts slow and you can see real benefits after a week or so. I know have my own story about when I started meditation and when my life changed for the better.",False,calm,571800810,
straea,2,2020-11-10 02:40:18,Not great for the chronically ill,"I downloaded this app when Apple recommended it. I have tried several guided meditation apps and am always open to the possibility of finding another one to add to my options for meditating alone. I could not open the app the first time without agreeing to be charged a subscription at the end of a one-week free trial. The app then asked me a few questions to try to determine what to recommend — how familiar I am with meditation, how often I meditate, and what I’d like to focus on in guided meditation. It then recommended I try a one-week course on stress. I figured I would give it a try, but I did not make it 60 seconds into the very first lesson before the person leading the meditation falsely claimed that a variety of physical chronic illnesses are *caused by* stress, the same utter garbage that some people claimed to me way back when I was diagnosed over 20 years ago. I immediately stopped the course but decided to try something else before giving up on the app. I tried a few of the daily meditations, but like another recent reviewer, I found the style of the person who always leads them doesn’t really mesh with my style. Then I had an anxiety attack and only later realized that I had forgotten this app was on my phone when doing things to calm myself. At that point I finally deleted it.",False,calm,571800810,
kat2x2,5,2020-12-31 20:23:03,Love it but...,"I’ve really enjoyed this app for the Rain On Leaves soundtrack and Sleep stories, these really work! When I finally tried the premium version I was mostly looking forward to being able to explore all the recordings in Meditation, which are focused on interesting and helpful topics like relationships, anxiety, confidence, etc. Unfortunately, a lot of these are narrated by Calm’s Tamara Levitt, and if I can be honest, I find myself switching her off a lot and trying a different topic simply because her voice was unpleasant to listen to.  So it’s a bummer that I’m missing out on all the content recorded by her, but I am still getting a lot of use out of the app anyway. Narrating is a talent, and although not everyone is a natural at it or blessed with a soothing voice, it can be improved on with proper training, and talented narrators work on their ability to even out/lower their pitch, and avoid raspy breaking in their tone as these are the most bothersome sounds to human ears. Def important if you’re wanting to lead someone in a meditation or narrate and they are paying such close attention to the sound of your voice.",False,calm,571800810,
HeatherRocks999,5,2020-05-06 04:31:33,Much Needed Self Care in a Pandemic World,"I don’t know how I would be making it through the Covid 19 stress without this app. As someone who struggles with anxiety even in the best of times, I decided to try this app out to deal with the stress of the pandemic. I am so glad I decided to pay for full access to all of the features! I am learning how to meditate in ways that will benefit me for the rest of my life. I have recommended this app to all of my friends. The targeted sessions for different aspects of life (stress, sleep, anxiety, etc) are so helpful. There are meditations that are very short for when I need to be centered quickly to deal with a difficult situation and meditations that are longer for when I have time to do a more intensive session. A nice bonus is the relaxing music that I play while I’m working to keep a peaceful vibe throughout my work day. Unlike some meditation instructions, this app does not push any agenda that is targeted toward or against any particular faith, which I know has turned some people away from meditation apps in the past. I am so grateful for what this app has brought to my mind and spirit!",False,calm,571800810,
Mr brake your back,4,2020-04-13 19:32:49,Pretty cool app,"This app was created to help people who are struggling with anxiety, daily stress, sleeping problems, or even depression. The app has many different resources and techniques given to help people. It has breathing exercises which can help people who are dealing with anxiety or stress. These breathing techniques are proven effective by Cognitive Behavioral Therapy (CBT) techniques. The app has calming music to listen to while doing work or to help fall asleep. For someone who is struggling with depression the app gives many tips with the focus on mental health. These tips are how to maintain a strong mental health.  I downloaded this app since I saw a lot of advertising for it. My first impressions of the app were just okay. Once I figured out how to navigate around the app and use all of the features I began to enjoy it more and more. One of my favorite features about the app is the stories to help you fall asleep. One of the parts of the app that I did not like very much is that you have to pay to get a majority of the features. Although they do have a free 7 day subscription, I feel that you need to use it longer to get a good effect from the app. Overall I think that app is pretty cool and interesting.",False,calm,571800810,
DanceMomHolly,5,2021-05-01 16:02:25,Love the app just one recommendation!,"There’s so much to this app there’s bed time stories, breathing exercises, music, sessions to help relax, meditate, and help u sleep, there’s also (one of my favorites) where u can have a calming background when on or off your phone, they have quotes to help motivate you, there’s daily check in’s you can do, you can set timers and reminders for things and so much more! There is a free app trial but you do have to pay after the trial ends but I think in my opinion it’s worth buying the app! My one recommendation though is that I think the calm app should add some more journaling to the app something more than the check ins because I think journaling is a great way to help you feel your releasing your past or just writing how happy you are if that makes sense plus if it’s not to much maybe add something to remind you to get off your phone and go outside or do some focusing hour on school work or something like that. Overall the calm app is a great app and I totally recommend if you have anxiety, or are having trouble sleeping! 
-if your reading this have a good day/night/rest of your day/night!",False,calm,571800810,
RipplesGuy,5,2020-01-05 10:12:54,Elegant. Useful. Compelling.,"I’ve been using Calm for about two years now; It is hard to believe I’ve logged several hundred meditation sessions. My mind still wonders. A lot. AND: I’ve strengthened several key muscles: concentration, clarity, equanimity, friendliness (which I learned about from Jeff Warren’s incredible 30-day meditation course included in the app).  I’ve recommended this app more than any other (I’ve tried, enjoyed, and positively reviewed several of the popular meditation apps), and I’ve heard from even occasional meditators that it has improved their skill and outlook. Another thing Jeff taught me: you don’t measure how effective/useful meditation is based on how many times your mind wanders when you sit, you look at how often and how smoothly  you  find yourself applying the concepts and activating the muscles you gain from sitting. The number of times I smile and notice something in a typical day is in the dozens. This app has definitely enriched my daily experience. It is worth trying, it is worth paying for, it is worth prioritizing in your life. (May you be happy; may you be strong; may you feel like you belong.)",False,calm,571800810,
JoyfulBookDragon,5,2021-05-10 06:19:36,Great App-Needs a few little tweaks,"Calm has great stories, meditations and more. I love it and have the full version. I love Anna Acton, Eric Braa, and other soothing voices. Some of them, however, are just a bit...jarring. I know everyone has different tastes but I like to listen to voices directing me during meditation or towards sleep that don’t jump out at me. Please, Calm, add more voices like Eduardo Ballerini, Ramon Tikaram, Chiké Okonkwo, May Charters and Jerome Flynn. Cillian Murphy is a great guest sleep story teller but please don’t just use celebrities because of name value. They don’t all make good storytellers/meditation guides. Some write the stories and I am grateful to those who come up with such wonderful sleep stories for adults. The ones that travel back in time, especially aboard old trains are outstanding! Just curate the voices a little better because some of us are too sensitive to the nuances of voice to listen to many of the meditations/stories. That’s kind of a waste. I end up listening to the same ones over and over. Please make the sleep stories at least 35 minutes, too. For those of us who need longer to drift away. Thanks so much!",False,calm,571800810,
Charlene V.,5,2020-10-25 19:52:53,Revolutionary Sleep App - Must Get!,"Forget melatonin and L-theanine pills. This app is all you’ll need to truly unwind, relax and fall peacefully asleep in no time. There is a variety of stories and meditations for pretty much every taste and style to put even the most persistent of insomniacs to sleep. With soothing, calming voices like Tamara Levitt’s and Eric Braa’s you are all but guaranteed to completely let go of your stressful thoughts, relax, and fall asleep in no time! While this app is great as is, I do have some suggestions that could improve it even further and bring it to the next, absolute highest level: 0) allow for bookmarking, or better yet, make the app remember where you left off in a particular story if you try a different story half way through, but then decide to go back or if you close the app and want to go back to that story you started 1) allow the user to preset the ‘stop time’ on longer meditations/stories. 2) allow sorting of all content by length of time 3) allow stitching of different clips (i.e. so users can piece together their own content from existing clips). Thank you and keep up the great work!",False,calm,571800810,
Lynne11,5,2021-01-20 03:30:19,I don’t feel alone,"During this time of isolation due to the pandemic, my daughter suggested I download this app. She’s been using it for a while and has premium. I downloaded it and I’m using the free service for now. This usually is not my “cup of tea“ and thought I would just try it. I have had a lot of anxiety and feel isolated and alone. I signed up and they have a very nice welcome letter. I tried one of the meditations and it is current with the times, it’s very relatable and because of that it has helped a lot. When I received the second long letter which I’m sure is a form letter but very well done, it has made me feel as if I am part of a community and a family which I do not have. Thank you from the bottom my heart for this wonderful app. There are plenty of meditations to choose from when you are first starting out and don’t understand the reviews about not having free meditations. This is a great stepping stone for someone who is new to meditation and I for one am very grateful. Great app. The meditations really are working for me and I recommend this to anyone who needs a little calm in their life.",False,calm,571800810,
Mrs zamayoa,5,2020-07-15 17:35:17,Worth every penny,"It almost seems like everyone in the world has anxiety and depression nowadays. I dont want another problem like addiction to drugs so I was endlessly in search of alternative help. I just want to be more in control of my emotions. Hormones play a big part in my emotions. An instance that makes me furious, sad, depressed, hopeless, and aggravated one day could be the same instance on another day and it wouldn’t bother me a bit. Due to my fluctuations in emotions due to hormone changes I didn’t want to take pill(s) daily. So I stumbled across this app and gave it a try. NEVER LOOKED BACK. It’s wonderful for stopping me in my tracks and calming me down. But you do it often and the lessons follow in your life. I love love love the coach’s voice. I am a private person and don’t share my feelings which is helpful to some, but I don’t need to when I practice with the help of this app. You can choose how much time you want to spend. A lot or a little. There’s even an “emergency calm” selection, I haven’t used but am saving it for when I need that best friend to say “everything is going to be ok!”",False,calm,571800810,
Madelyn Michelle,2,2020-08-06 16:00:55,Most meditations guided by the same person,"After having calm for several months now, I’ve enjoyed exploring to the variety of content from masterclasses to music to meditation. I also like the approach calm takes in encouraging you to develop your own daily practice of mindfulness. However, the main reason why I purchased calm was for the large library of meditations. However the bulk of new meditations come from the daily meditation which is always guided by the same person, Tamara Levitt. She also guides many of the meditation series they have available. Unfortunately I don’t enjoy how Tamara does her meditations and I find them more distracting than helpful. Because of this I find myself avoiding her meditations and whenever there is a choice for another voice I’ll pick it, but there are only so many of these. And, if you’re not doing the daily meditations, it doesn’t take too long before you feel like you’re running out of content. Calm is great if you enjoy Tamara’s meditations, but your kind of out of a deal if you don’t. I just think its unfortunate that there isn’t more variety in the voices available and authors coming out with new content. My wish would be for calm to at least have a second choice for the voice of the daily calm.",False,calm,571800810,
Serious Lumbar Injury,5,2020-11-13 18:12:39,I Highly Recommend Calm for Everyone,"I have chronic pain and just had surgery on my spine fusing my L5 and S1 vertebrae, I also have chronic insomnia. All of this plus PTSD is what caused me to search for an answer to bring my Mind, Body & Spirit back to me. In just One Week, I began to learn how to quiet my Mind enough to sleep all night now.  I’m no longer sleeping or in bed 10-14 hours.  I have started sleeping 8hours or less and wake earlier feeling rested. I’ve realized that I am waking up with less pain, both of these Benefits are just because I decided I’m worth, I deserve to be able to sleep and take care of Myself as a whole Person. 
If you are having even One Goal, I Highly Recommend Calm to you.  My life has begun to change in just One Week.  I’m looking forward to learning how to Meditate.  I had my 10min introduction this morning, and I am feeling Hopeful Today.
Get Calm, for your Mind,Body and Spirit.  Try it for 7 days and then decide if you are Better or The Same.  Just one place that is the Most Important Self Care, Restful Sleep.  After just One Week I’m Feeling better and have less morning pain.",False,calm,571800810,
AJayneDyer,3,2020-09-08 22:46:01,"The app is wonderful, but lacks variety.","I got a year of premium on this app and absolutely adore it. The depth, care, and detail that went into making this app the best of its kind are not at all lost on me. It’s been very helpful to me with managing sleep and anxiety, really to life-changing levels. But I find my biggest complaint and the thing that makes me go through bouts in which I stop using it altogether is the lack of variety in narrators. Tamara Levitt is used to narrate a very large number of exercises and while her voice is positive and upbeat—she really is lovely, I’m sure!—it’s not AT ALL relaxing and totally grinds on my nerves. I literally cannot listen to any audio that she does in this app and as I said, there are many. It’s really disappointing. I’ve found the male narrators, specifically Elisha Goldstein, have a slower cadence and a much more relaxing tone that allows me to decompress and stop my anxiety attacks or drift off to sleep. But repetitive listening of certain audios can lead me to memorize it, which I find has me anticipating the words rather than absorbing them. I would really appreciate more frequent updates to the “cast” in these audios, especially ones for sleep and anxiety management.",False,calm,571800810,
bbrockit,4,2020-06-02 16:06:19,Should not claim to support Family Share,"Like many expensive subscription apps Calm claims to support Apple Family share.  However, In-app purchases and subscriptions cannot be shared, so no, your purchase of Calm cannot be shared.  Only the free portion (accessible for 1 week) can be shared—which is of course unnecessary since family members don’t need family share for something that is already free.  Family members would actually be better off downloading it directly because the free access only lasts one week so they’d at least get their own trial period instead of whatever remains of a family member’s.  There is fine print in the App Store which says that Family Share does not support in-app purchases and subscriptions, but nothing in the app itself will tell you that your $70 one year subscription cannot be shared with a family member or significant other.  It would be simpler and more honest if Calm would opt-out of Family Share so it would not display that capability on their App Store description as Family Share is only relevant and useful for one-time paid apps.  You have a very nice app otherwise.",False,calm,571800810,
rising sun 6,5,2020-12-29 17:51:12,The absurd paywall ruins the experience,"There’s only 1 subscription option and it’s for a $70.  Yes it’s for a year but we’re in a crisis right now, the bill to save people from being evicted hasn’t been signed yet still and people are still without adequate jobs especially gig workers. The current subscription offer takes advantage of this and is not the type of app I would want to use to relieve stress and anxiety as it is clearly only wants to relieve nearly empty bank accounts.  What... people are supposed to decide between making you richer or being responsible for their families and paying their rent and utilities.  Ppl are supposed to decide whether their emotional and mental health to ease the stress in their lives is more important than the actual issues going on.  Yes some people can pay $70, either they can afford it or they’re bad at money and should be using it elsewhere.  Come up with more sub options please, at least break down the $70 into manageable chunks.  You could probably even charge more that way, I’m sure that would make your pockets happy.",False,calm,571800810,
YBHJUVEY,5,2020-11-29 10:14:21,I have 3 months !,"My aunt got me three months for my birthday in late October . Ashamed I’ve waited nearly a whole month to use the gift card , but I am extremely impressed . I always has bias towards this app just due to its advertisements and monthly subscription cost . These days everything has a subscription and also costs money. I recommend you give it a month for a free trial and if u don’t like it then u don’t have to use it . I love all the music options for sleep and I haven’t checked out the stories or the mediation section just yet . I think this app has potential and is more then likely one of the best apps for mental health ( maybe I’m not sure ) Anyhow , it has a sleep timer and you have the ability to download music files to the app for offline use .... 
As a person that suffers from insomnia and an irregular sleep cycle , I hope this app can help me as I have issues holding down a job because of anxiety and other mental disease. 
My name is Morgan , I’m 22 years old , and I wanna thank u for reading my review ... If anyone ever does ... Stay frosty friends . <3",False,calm,571800810,
Dr.BL,5,2020-01-09 10:59:32,Great app but one negative...,"When introduced to the calm app it was the best thing regardless of whether you paid for it or not, there were still plenty of programs that you were able to listen to. Found it so useful for me that I began to recommend it for my patients even those that could not afford the subscription it allowed them to have access to some of the programs that were useful for them. However, this is no longer the case which I found out when it asked me to review my subscription & before doing it decided to checkout what was available, which truly disappointed me. If you don't pay you’ll have access to a very limited programs. I understand the app needs to make money but, as with many things that gain popularity, it shifted from helping others to now make money. 

Despite this app being amazing which I used almost daily, I will not renew the subscription & seek another app that I can use, that I can also recommend for my patients who experience financial difficulties. 

Thank you.",False,calm,571800810,
