review,rating,date,isEdited,userName,title,app_name,app_id,developerResponse
"I’m a sensitive person, so many things “set me off” in a different mood. Aside from seeing a therapist regularly, this app has made a huge difference in how I view myself, my thoughts, and my emotions. It’s a simple concept but effective; three times a day the app asks me a few questions and I get to rate how I feel at the moment and make a journal entry if I want. These simple steps often facilitate a change in perspective if I’m in a bad mood (from “I’m so stressed because work is overwhelming” to “Work is heavy right now and it’s a normal response to be stressed, what can I do to lift my load and feel better?”).  I use the paid version because the reading and listening resources are quick, effective, and informative. Also, the design, colors, and illustrations of this app are so soothing!",5,2020-05-29 00:56:00,False,moodyempath,totally different perspective,minddoc-your-companion,1052216403,
"I downloaded this app hoping to keep track of my highs and lows And liked that they have you fill out your mood a couple times throughout the day as your mood can change as the day goes on. The thing I don’t like is that you only have limited mood descriptions to use unless you wanna pay 50$ (per year) for more so you’re left with basic descriptors like “happy, sad, depressed”. The questions it asks for the assessments are boring and repetitive and the layout of the app is also kind of boring. Nothing about the app feels that helpful. There are videos/audio clips available to listen to that act as a guided meditation or to help work through some issues, but you only have free access to one of them and the rest you have to pay for. Those could be helpful but I just can’t afford $50 for guided meditation I can find online.",3,2020-01-27 20:08:11,False,Jzjff,App could be better,minddoc-your-companion,1052216403,"{'id': 13186467, 'body': 'Hello,\xa0\n\nthank you for the review. The main idea behind the ""How are you feeling"" question is to see how your Mood is changing according to situations you are in, which emotion are connected to it and what thoughts arise in the context. It is aimed at making visible how these things are connected plus give a clinical diagnosis of your depression state based on scientifically backed up questions. \n\nConcerning your criticism on the subscription fee. We understand where you are coming from. Our team would like to make Moodpath accessible to as many people as possible which is why we offer as much of the core content of the app as possible (i.e. screening for symptoms of depression followed by a sound evaluation, mood tracking, and some insights like weekly overviews) free of charge. Unfortunately, the costs for health apps are still very rarely reimbursed by health insurance companies. But we are working on it and hope that soon clinics, doctors, and psychotherapists will see that Moodpath is a meaningful tool for their clients. This would help defray the costs for individual users. We are already in touch with clinics and health insurance companies about this possibility. We are happy about suggestions on what would be be a fair price or what is missing in your opinion to justify the price we ask for.\xa0\n\n- Your Moodpath Team', 'modified': '2020-01-29T18:38:38Z'}"
"How is this app not more widespread???

It appears humanity is finally turning the page in beginning to understand and respect the importance of mental/emotional health. Unfortunately, this era seems too polarizing to be viable long-term. Where one self-aware individual takes root, three narcissists sprout up behind them. Or vice versa. I guess it depends on your personal blend of experiences.
Nonetheless, this app serves as a power-up to the former of folks and should at least be in the Top 10 charts. Especially given the circumstances... I mean, come on people. Let’s get our priorities straight and create a better batch of role models for the next round of kids. Some of us would like to get off this toxic merry-go-round!!! 

Alright, El Fin with the philosophical rant.
But really, this app is wonderful for many reasons. My favorite is that it helps those, who’ve previously dissociated due to trauma, reconnect with their somatic and emotional states. Many people don’t seek therapy because they don’t feel comfortable talking about their deep private feelings with another person. Duh, who does. Well, this app makes crossing that bridge a whole lot easier! 

Suggest it to your friends!!!! 

No I’m not a salesperson, I just get excited",5,2020-05-04 06:47:25,False,Mrs. Enthusiastic,Severely underrated,minddoc-your-companion,1052216403,
"Moodpath used to be the best mood tracker app but now all the really useful features (user inputted emotions, individual activities/skills used, ability to get data based on personalized inputs) is pay to play. And it’s $100 USD a year. That’s far too much for those most in need. There are dozens of good meditation apps and blogs, adding more of those features and taking away a core function of Moodpath was a junk capitalistic move.

It’s particularly sad to see this change since Moodpath is one of the few mood trackers that isn’t affiliated with any one school of therapy (DBT, CBT, etc). When it was customizable, you could just enter the skills (or the first few letters, it autopopulated based on history) and easily track whatever moods/skills/activities you and your therapist wanted. And you could see how those things affected your moods. It had the ability to be as flexible and dynamic as personalized therapy. Now you can’t even track anxiety without paying.",1,2020-06-28 23:55:25,False,StreetJournal,Now Pay to Play,minddoc-your-companion,1052216403,"{'id': 16901013, 'body': ""Hello and thank you for the detailed review. You are right we are not affiliated with any one school of therapy and the functions you are describing are still our core.\xa0\n\nUnfortunately, the costs for health apps are still very rarely reimbursed by health insurance companies. But we are working on it and hope that soon clinics, doctors, and psychotherapists will see that Moodpath is a meaningful tool for their clients. This would help defray the costs for individual users. We are already in touch with clinics and health insurance companies about this possibility. In the meantime, we are looking for ways to compromise and offer solutions that are acceptable to all parties. We are definitely open to feedback from our users. If you like, please let me know what price you'd find fair for the content provided or what kind of content or features you're missing in the app to justify the monthly subscription price. - Your Moodpath Team"", 'modified': '2020-07-27T13:12:01Z'}"
I’ve never written a review for an app but i’ve had mood path for a little over 5 months now and i love it. this app has helped me to track my progress in my mental health. the questions each day help to reflect but are still super quick and easy. then the app will give you an indication of what you may be feeling. with the corona virus going around there have been specific questions regarding the pandemic along with insight. but my favorite part of this app is the insight there basically pep talks and reassurance that is available when you need it most. in sad times there will be insight in how to deal with sadness and after it has past there will be insight to how you were able to overcome and how you’re feeling better now.,5,2020-03-20 04:41:06,False,Z...................*,love it,minddoc-your-companion,1052216403,
"I’m a 17yo girl and I’ve been through hell and back with my depression. MindDoc has genuinely helped me to realize what I need to focus on, if I’m going through an episode, and helps my therapist and I see how I’ve been feeling. I never use an app like this for longer than 2 weeks because I normally get tired of them but it’s been almost 9 months of me using this app and it’s helped so much. I started using it this year right before the pandemic because I had just gone through a heart break and was on the edge of ending it all. I found MindDoc and have used it every single day since. I’m very grateful for the help and guidance this app has given me. I would recommend this app to everyone, even if you don’t have a mental illness.",5,2020-10-26 17:54:16,False,CarolinaGomez1212,So useful,minddoc-your-companion,1052216403,
"Positives: this is a fast, simple way to track your mood and see how your mental health can change over time. The questions take less than 30 seconds and the notifications help remind you. - The basic version is free
-provides basic coping info 
-gives diagnostic suggestions and clinical recommendations 
-they ask about suicide every-so-often and have a reasonable protocol for querying and offering resources (and I presume a method for dealing with people who are actively suicidal). 

Negatives: the biggest drawback to me is that the questions asked appear random/do not appear to change in response to your answers (if it they do it is too subtle to be meaningful). It would be feasible and helpful for them to create an algorithm that tailors questioning once you have responded for a certain length of time. For example, if you consistently endorse low mood and depressive symptoms, asking those questions more frequently over others. If you never endorse things like post-traumatic stress, OCD, or psychosis it is not necessary to have these as part of the regular data collection (maybe every few months or so it would be reasonable to re-check). You could get more accurate data in symptoms and functioning if questions were tailored.",3,2020-06-27 16:28:51,False,lmh19,App has promise,minddoc-your-companion,1052216403,
"I was on earlier this morning and everything was as it should be but then I just now reopened the app and all of my entries were gone. It took me through the whole setup process too. I don't have an account because I don't want my email linked to it but I've never deleted the app or switched phones while using this. It's totally random. I'd really really appreciate help with this, I'm freaking out about losing all the things I've written, it's important to me that I have all of it down. I don't even know my data was properly wiped off of their servers, and I don't want it on there forever. It's very concerning. Also, a lot of emotion options I had were removed.

Update: this was an error with the update from Moodpath to MindDoc, and after reaching out they're working on returning my entries. Great professional customer service.",3,2020-11-09 19:05:52,True,Munchy Crunchy,Data randomly wiped,minddoc-your-companion,1052216403,"{'id': 18996634, 'body': ""Hello, thank you for your feedback. We are so sorry to hear that you lost your data. Please contact us via feedback@minddoc.de so we can try to restore your entries. We'd love to help. Best, Your MindDoc team"", 'modified': '2020-11-09T16:29:26Z'}"
"This app is really great for tracking your moods and seeing what it looks like over time. It is my favorite so far and I will continue to use it as long as it is free.

Some issues I ran into so far, though:

I got an alert that the 14 days was up and I would receive a notification when the APP was ready to give me my results... it never did, but instead started the new 14 days. But it’s not a doctor, so it really isn’t a real problem aside from being somewhat disappointing.

My real problem is the ~8 dollars a month for extras. I tried the 7 day trial. Maybe for some, it is worth it, but I think it would be more worth it to pay a ONE TIME fee for around $20. Even a one time free of $50 would be better than $96 a year... I pay $20 a year for a separate service that provides authentic advancement for my career, but yet this APP is worth $96 a year? I dunno. The APP developers might feel it is worth it, but I personally don’t. There are other ways to keep track of your moods and as convenient as Moodpath is, their price just doesn’t match up with what they provide.",5,2020-01-31 12:25:09,False,StaceyAyers,Overall a good APP but has some problem,minddoc-your-companion,1052216403,
"This app is really good, my thinking is that since I don’t know how to tell my parents how I feel or I need to see a therapist about these problems, maybe the app could ask if your able to talk to your parents or someone close to you and be able to see a therapist. I don’t know how to explain how I feel or Evan talk about my feelings because all my life I would worry about other people and just push down my feelings and I would forget them, until now I can feel them and I can never speak about them. I think that this app is doing a good job and I was just thinking maybe about to give you maybe some ideas. Who ever made this app is changing how people feel, but maybe it should also worry if someone is able to speak there feelings?",4,2020-12-02 00:19:26,True,mattie honna,Some ideas?,minddoc-your-companion,1052216403,"{'id': 19248257, 'body': ""Hello, thank you so much for your feedback. We are always working on making our questions suitable for all our users but we know that it happens sometimes that the questions don't match the situation of the user perfectly. Therefore feedback like yours helps us a lot to improve MindDoc. If you have any further suggestions please contact us via feedback@minddoc.de. Your MindDoc team "", 'modified': '2020-11-20T15:14:55Z'}"
"When feeling depressed, it can be difficult to follow a program, no matter how well intentioned. This application feels like an empathic friend lightly knocking on your door three times a day to check in and ask a few simple pertinent questions. It’s oddly refreshing to answer questions about well being honestly rather than the reflexive, “I’m fine.” In just a few days I saw clear patterns and dominant moods. Sometimes, based on your responses, short exercises are recommended. You can also peruse the library of exercises which are grouped by themes. (I believe you need to purchase the program, which I did, to have access to all of the exercises.) 
I wholeheartedly recommend this application.",5,2020-09-02 21:45:59,False,LeeSanders12,"Useful, Gentle, and Well Designed",minddoc-your-companion,1052216403,
Honestly I downloaded this when I was feeling lonely and down and this app constantly through out the day sends you notifications and checks on you and how your feeling which I really enjoyed honestly and gave me ways to express my feelings it also has some things you can listen to help with things your struggling with and it really calms me especially since it’s hard to meet with a therapist during this time I really really love this app and support it definitely recommend getting if you need someone to talk to and help you explain and figure out your feelings throughout they day❤️ just remember your always loved no matter what circumstances have a good day,5,2021-02-18 17:36:39,False,Jenna SR,A Great and Safe app,minddoc-your-companion,1052216403,
"This app worked pretty well for me before the change to MindDoc, but I couldn’t get that version of the app because of the limits of what my phone could update to. Oh well, not anyone’s fault. Yet then, the next time I got my emotional health results; it said “Oops! Your device seems to be having issues talking to our server, please check your connection.” And so I did, my connection was fine. I changed WiFi networks, same thing happened. This process proceeded to happen every single time I got a result. I could see what the result was, but I could not click on it. Luckily, I can click on my old results, just not these new ones. I’m a tad upset the update has affected my download like this despite the fact I was unable to even update.",4,2020-12-03 13:54:12,False,Mikaela gaming,Was Great Until The Update,minddoc-your-companion,1052216403,"{'id': 19591146, 'body': 'Hello Mikaela, \n\nthank you for using MindDoc and being a loyal user. As you might have noticed, we have changed our intended purpose of the app from being a pure depression screening and diagnostic supporting tool into a general mental health monitoring and self-management app.\nSince the beginning of this year, we only support iOS 13 and higher with updates of the app but kept backward compatibility for most parts of the app (i.e., monitoring symptoms, answering questions, doing self-management courses and exercises). However, due to regulatory reasons, we do not support the depression scoring results anymore as we do not maintain and further develop this feature again. MindDoc now offers a general assessment of your emotional health including insights into different wellbeing categories and problem areas. You can find the new intended purpose here: http://minddoc.com/en/ce-en/\n\nFor the time being, we thus cannot provide you the “old” way of results anymore as long as you do not update to the newest version of the app.\xa0To get the new results, please update or limit the use of the app to the symptoms monitoring and self-management courses and insights. \n\nBest, \nYour MindDoc team', 'modified': '2020-12-07T12:58:12Z'}"
"I honestly got this app as a last resort. I was in a really horrible mental state and couldn’t get out of a constant dark cloud. This app really helped me open my mind. If you get this app with the intent to try feeling less upset with yourself with whatever is going on, you have to give it the chance to help. I have the basic package. (The free one) and the daily questions alone helped open my eyes to just how sad or upset I was. It made me strive to feel better and made me WANT to build myself back up again. So far it’s helped tremendously! I 100% recommend this app if you’ve just about had it with everything going on...... it. gets. better.",5,2020-03-01 06:08:25,False,IanHailey,Great with depression/anxiety,minddoc-your-companion,1052216403,
"I’ve been using this app for about 9 months now, & while it’s been incredibly helpful in tracking my moods/thoughts & giving insights to them, I feel like the results lately have been a little off considering the answers I’ve been giving to the daily questions. Specifically for my most recent results, it clearly shows that my responses to the questions have been a bit more severe than the last few weeks, but the result said that all my responses are “within normal range.” Vice versa, in previous results, even though my responses throughout the week were more positive, the app would say “indication of isolated symptoms of depression.” It’s just confusing & it makes me unsure if the app is accurate.",4,2020-06-17 19:52:18,False,Sophia Emille,"Still good, but . . .",minddoc-your-companion,1052216403,
"This app is really good but I don’t like how there is so many things you have to pay for. I understand the need to have a way to make money without adds but I would like if there was more free exercises for depression and confidence building. It’s just my personal opinion.

I do really enjoy the ability to track my moods and thoughts and the analyzing my data so that I can see what I need to focus on in therapy.

I have Borderline Personality Disorder and I find it hard to remember ever being low or ever being high. I tend to just tell my therapist that my week was “good” or “bad” based on how I was feeling in that moment because it was hard to see anything else due to the black and white thinking. 

Being able to track my emotions and symptoms help me really reflect on how I’m really feeling. I never realized that my mental health affects my physical state and when I used this app I saw that things like me sleeping too much is a sign of me experiencing depression.

So all and all I think this is a good app and I like everything about it except that you have to pay to get anything more than recording your mood and the 3 free things.",4,2020-03-21 01:58:50,False,Faille my cat,Great app but not the best,minddoc-your-companion,1052216403,
"This app is very helpful for those who struggle with depression and anxiety. It’s also great for people to have a sense of control over their emotions. I like how the app ask questions that make you think deeply about how you’re feeling. At the end of the week, the app will give you a further understanding of what was going on. And those note are very helpful because you could share them with a therapist if needed. I also like that this app provides resources to make you feel better such as: breathing exercises, how to remain calm in tough situations, and how to build your self Esteem. Overall, I would recommend this app to anyone who is struggling with mental illness.",5,2020-03-16 18:09:55,False,AnyahLew,Excellent App!,minddoc-your-companion,1052216403,
"Was using this app to track my mood for anxiety and depression and for me, personally, I get triggered easily when exposed to negative thoughts or ideas so having the questions constantly asking if you’re sad or other such questions I found that it did more  bad than good. Most of the time I was in a pretty good mood but then after looking at the analysis it said my mood was critical which I found odd when it was really only a couple times I felt bad. Not everyone is happy 24/7 so it telling you you’re critically depressed because you weren’t in the best mood a few times was somewhat disappointing. I’d look to find an app that’s more uplifting and gives more positive outlook as opposed to negative questioning constantly. 2 stars because the mood tracking 3 times a day was nice.",2,2021-04-05 23:11:22,False,Mai chu,Daily questions were more triggering than helpful,minddoc-your-companion,1052216403,"{'id': 22168570, 'body': 'Hello, thank you so much for your detailed feedback. We are sorry that you were triggered by the questions and understand that you are not benefitting from using MindDoc this way. Unfortunately it is not possible to create a mental health companion that fits to everyone, even if we try to reach as many people as possible. Still, your feedback is very valuable to us and we will consider it. We wish you all the best, Your MindDoc team ', 'modified': '2021-04-11T09:52:21Z'}"
"I like the app and it has helped me manage my emotions and well being. However, I have lost my data several times twice and this is getting frustrating. I subscribed a year of membership for $47 but lost the first period of data not being able to find my account. I contacted customer service asking them to check all my email accounts but non of them were the ones used to subscribe for my membership, so it must’ve been my iOS account. Could not retrieve it till this day. The second time, I didn’t subscribe anymore but still lost the second batch of data after the app signed me out and was unable to log in even if I clearly remembered my email and my password this time. Kept repeating “login failed”.",3,2021-05-12 19:05:40,False,余縈入蟬朙,Keep losing my data,minddoc-your-companion,1052216403,"{'id': 22812363, 'body': 'Hello, we are so sorry to hear that happened. Please contact us again via feedback@minddoc.de and refert to your review in the appstore. We will take a close look to this and try our best to help you. Best wishes, your MindDoc team ', 'modified': '2021-05-14T14:29:41Z'}"
"So I’ve only had this app for nearly a week. I sort of forget how low I can get and stop caring about myself and feel totally empty, as many depressed people can struggle with. This app helps me track my moods, but also checks in with me throughout the day which honestly feels nice that something (even though it’s tech) cares. It also provides insights on depression and mental illness, like things to look out for and even gives you numbers for crisis emergency lines to call if you need it... I don’t have a therapist right now, but can see how useful using these together would be. Thanks for creating this handy app!",5,2020-08-01 00:34:12,False,flowerpowerxx,Little friend that cares,minddoc-your-companion,1052216403,
"I’ve been using this app consistently for some time and greatly appreciate the insights I receive from being consistently mindful of my mental state. It helps me identify trends in my emotions, and properly informs my discussions with my therapist.

That being said, the biweekly “Results” are a cause for concern and I’m not sure what they are based off of. I reported a happy and positive mood for 24 out of 28 assessments that I responded to during my most recent time period. I’ve been in a significantly better mood recently, but when given my results from the app as to the current assessment of my mental state, I am being told I am in “Critical need of mental care”

It’s deeply concerning to me that the main algorithm that’s supposed to inform users of their overall mental health seems to be so inaccurate. I’d like to think that this is because of something wrong with a background calculation, but I can’t help feeling that a part of these diagnoses are to try and push me towards paid features.

I highly encourage the team reach out to me and help me understand what these mental health results are based off of, because at the moment these insights are drastically missing the mark and it’s damaging my trust with the app.",2,2021-01-31 23:29:54,False,whunersen,Starting to doubt this app...,minddoc-your-companion,1052216403,"{'id': 20813693, 'body': ""Hello, thank you for reaching out! We are sorry to hear that your result is deviating from your actual state of mind. Sometimes this happens because no algorithm is perfect but it should be an exception. We recently (friday) slightly changed the evaluations of the answers so your new results should be more accurate. If not, please contact us via feedback@minddoc.de and we'll find out what happens! We'd love to help. Your MindDoc team "", 'modified': '2021-02-02T17:21:55Z'}"
Major flaw in the app with the exercises/lessons (which I love and find very helpful) except it doesn’t save any lists or anything you create once you finish it. If you want to go back it’s like you never went through the lesson except it shows a completed check. Example - doing the course on sleep and in one exercise you are to come up with a list of bedtime rituals (again great idea and I enjoyed walking through it) but then when I finished the lesson; everything I created was gone ;-(. So the issue is all these areas they want you to apply and use (again very helpful) you can’t because it disappears. If they would change this so all the work you do saves and you can reference it would be a really great app overall. Hope developers are listening to this. Thank you.,1,2020-02-26 03:32:35,False,Delilah9,Major Flaw - Unfortunate especially with how much it costs,minddoc-your-companion,1052216403,"{'id': 14515706, 'body': 'Hello, thank you so much for your message. We are sorry that you had this experience, we had a couple of server issues, that are fixed now. Usually what you write into the classes and courses is saved accordingly. Write us anytime if you have other ideas for improvement via feedback@moodpath.de we are always happy to hear from our users and keep the suggestions in mind for the further development of the app. Thanks for your support! - Your Moodpath Team', 'modified': '2020-04-07T11:13:39Z'}"
"I’ve tried all the major moos tracking apps and none of them have ever really stuck with me for more than a few months. I’ve been using MindDoc (I miss when it was Moodpath and had the prettier icon) for over a year now and it’s kept me grounded through medication changes, crazy life events, and all without feeling like a chore to fill out every day. The biweekly analyses keep me from losing perspective and whilst I wish it could look for broader symptoms such as hypo mania and track medication use as well, this is still an outstanding app and I’m so grateful for how it’s helped me.",5,2020-12-08 00:54:09,False,bel the koala,The only mood tracker I’ve been able to stick to,minddoc-your-companion,1052216403,"{'id': 19692661, 'body': 'Hello, thank you for your kind words. It is amazing to hear that you perceive MindDoc as so helpful and easy to handle. This is what we aim for. Thank you as well for your helpful suggestion, we will discuss your ideas of broader symptoms and medication tracking in the team! Best, your MindDoc team', 'modified': '2020-12-11T09:04:13Z'}"
