developerResponse,userName,isEdited,date,title,rating,review,app_name,app_id
"{'id': 21231707, 'body': ""Hello! Thank you for sharing your feedback. We're really happy to see BetterMe Meditation has been helpful to you, and we're sure you'll achieve your personal goals. All the best, team BetterMe Meditation"", 'modified': '2021-02-23T08:06:47Z'}",vitugmaya,False,2021-02-21 04:55:47,Exercised Meditation,5,"Yo this app is life-saving. On this app mediations dont tell you to think of positive thoughts, or to “just let go of your day”. They give you exercises that help you take a look at your thoughts & I have seen the growth in me. This app compared to the Calm app is incomparable because they actually help you with your anxiety depression and happiness. The world is at its most crazy time right now and this app can save lots of lives. I accidentally bought it because I thought it had a weeklong free subscription… But it did it and it was definitely worth the $70 hands DOWN.",betterme-calm-sleep-meditate,1363010081
"{'id': 15966788, 'body': 'Hello. We are so sorry for your unsatisfactory experience with the BetterMe Meditation app. Please note that the users are not charged by us but rather by the respective platforms they’ve obtained the app from. Please contact Apple directly to request a refund: https://support.apple.com/HT204084\nKind regards, Team BetterMe', 'modified': '2020-06-14T06:52:42Z'}",cwright1985,False,2020-06-13 15:38:45,No Customer Service,1,"Wish I had read the reviews in more detail! Everything I was reading when I got on the app mentioned a trial period. When I went to go sign up for the trial period to test the app, I was not given one. I was charged the full 6-month rate. I immediately reached out to customer support to get a refund and no response. I have emailed 4 times! Nothing. Further, I have used the app a little and for me - this is not the right platform. All of this could have been solved if they did not lie about a trial period. Which, is what EVERY OTHER APP IN THE WORLD OFFERS. And if they don’t it is VERY CLEAR THAT THERE IS NO TRIAL. Unlike this app that says “after your trial period you will be charged hella.” 

I see folks get responses on here, so maybe this will jolt them to give me a refund and take customer service a little more seriously.",betterme-calm-sleep-meditate,1363010081
"{'id': 20055139, 'body': ""Hello! Thank you for bringing the issue to our attention. We would appreciate it if you could provide us the 6-digit number you received in your automated email. It'll help us locate your email and provide you with a proper solution faster. Look forward to hearing back from you. Kind regards, Team BetterMe Meditation"", 'modified': '2020-12-29T06:28:27Z'}",Iwolfhnd,False,2020-12-27 12:54:54,THEY WILL CHARGE YOU WEEKLY!!!!!,1,DO NOT EVEN DOWNLOAD! IT IS A JOKE! I agreed to 9.99 for a one time charge for open your chakra meditation. I was supposed to get an email with information and only got a link to the app. When i downloaded it I couldn’t find what I paid for initially. No help at all with that. Then 6 days later I am charged AGAIN $9.99! I have used the app once! I asked for it to be cancelled since I never agreed to additional charges! They said I get no refund but can use the app till Jan 2! First off the person leading the meditations voice will irritate you more than relax you! So no thank you! I want my money back NOW! I will report this and looks like I should have read the reviews before. This is a scam! Who pays 9.99 a WEEK for an app when you can get better meditation apps for a fraction of the cost!,betterme-calm-sleep-meditate,1363010081
"{'id': 22645682, 'body': ""Hello! We apologize for any confusion. If you have faced any difficulties or issues with BetterMe itself, we are always glad to help our customers. Do not hesitate to reach us at gethelp@betterme.tips. We've got an idea of what we can do to make your experience more pleasant. Kind regards, team BetterMe"", 'modified': '2021-05-06T05:22:26Z'}",felixthek,False,2021-05-04 17:19:36,Disappointed- ads are misleading.,1,"This app is very okay, not worth the price though. I bought it based on the ads i kept seeing (silly me); it seemed like it would be personally interactive like a few of the other apps i’ve liked. I took a chance and was very disappointed that it’s nothing like what was advertised. The meditations themselves are okay- but the robotic voices make it harder to relax when listening. There doesn’t seem to be a whole lot of content, but I’m still exploring (since i’m now stuck paying for the year subscription 😅) and I will try my best to get what i can out of it- but i would recommend looking for a different app or free meditations instead of this. Anything you would find on this app is out there for free, and so much more!!",betterme-calm-sleep-meditate,1363010081
"{'id': 19674195, 'body': 'Hello! We will gladly assist you with your request. Please provide us with the 6-digit number of the email you have received in the auto-reply. This way we will locate your messages and get back to you shortly. Kind regards, Team BetterMe', 'modified': '2020-12-10T14:12:33Z'}",Eliz.55,False,2020-12-07 16:43:36,This is a fraud! DO NOT BUY IT!!!!,5,"I agreed to pay a one time payment of $9.99 for this app in November. They charged my card again a week later, early December... I emailed them several times in the past few days, apart from the auto reply, haven’t received anything. I had to cancel my card and I will definitely notify the authorities (Better Business Bureau, etc) about this company... 
This app should have helped to relieve stress with meditation, etc.
Well, thank you! My stress level is much higher than before!",betterme-calm-sleep-meditate,1363010081
"{'id': 20824382, 'body': 'Hello Macie! Thank you for your review and your suggestion. We are working hard to make our app suitable and accessible for a wider number of users! We hope you will stay tuned for updates. Kind regards, Team BetterMe Meditation', 'modified': '2021-02-03T07:32:53Z'}",macie brynn,False,2021-01-06 02:54:02,Nearly Ideal,4,"It would be preferred to have multiple options on sleeping sounds to adjust with the volume bars and not just three, but i really adore that feature itself. additionally, on the white noise sleeping track, there is an audible loop that causes a gap and throws off my relaxation lol. other than those two things, this app seriously helps me remember to focus my breathing and meditate daily for self improvement. the payment is worth it for all the amazing features",betterme-calm-sleep-meditate,1363010081
"{'id': 22947280, 'body': 'Hello again! We have not been able to locate your request so far.  We would kindly ask you to reach us at gethelp@betterme.tips. We will be more than happy to help you out! Or provide us the 7-digit number from the auto-reply (if you already emailed us). We will be looking forward to your reply. Kind regards, Team BetterMe', 'modified': '2021-05-22T09:22:26Z'}",New User's Suggestions,False,2021-04-21 01:28:47,I have been scanned by this app,1,"I agreed to pay 6.99 for a 7 day trial.  As it were I had some medical issues and never opened the app. Not only was I charged the 6.99, but I was charged for an additional month of use!  I tried to open it to make sure I wouldn’t be charged again and can’t get past a payment screen.  I tried contacting PayPal and can’t get a refund through them.  They’ve obviously got the legalese covered.  PLEASE CONTACT ME FOR A REFUND!  I downloaded the app because I had a stroke and I’m trying to keep my blood pressure LOW.    Wish I could create a warning system for others who think this is a safe bet. I’ll amend this review if I hear from the developer personally with a refund.",betterme-calm-sleep-meditate,1363010081
"{'id': 21738008, 'body': 'Hello! Thank you so much for such detailed feedback as well as for sharing your suggestions with us. Please text us gethelp@betterme.tips and we will review your case closer and decide what we can do about the whole situation. Kind regards, Team BetterMe\xa0Meditation ', 'modified': '2021-03-18T16:11:56Z'}",TreeLizard386,False,2021-01-11 22:20:45,Disappointing,2,"Highly recommend trying ANY OTHER meditation app. I gave 2 stars because the sound mixer is the only thing I liked about this app. The voices in the meditations are awful and super distracting. I usually don’t have a problem with guided meditations, but these sound like the person reading them aloud has never instructed a meditation before. The delivery is rough and sometimes hard to understand. The meditations themselves lack substance and don’t really help. There are way better apps out there. My one regret is that I didn’t cancel my subscription before my free trial ended. Now I’m out $10 for an app I’m just going to delete anyway.",betterme-calm-sleep-meditate,1363010081
"{'id': 19972457, 'body': 'Hello, thank you for contacting us. We would like to assure you that we are always ready to assist our customers. You can cancel your subscription directly through the app, just please make sure that the latest version is installed. As an alternative, please text us here the 6-digit number of the email you have received in the auto-reply. This way we will locate your messages and get back to you shortly. Kind regards, Team BetterMe Meditation', 'modified': '2020-12-24T06:58:48Z'}",Ronton-soup,False,2020-12-23 00:05:28,Fine but no customer service??,2,"This app is good and delivers on its promises. I thought I was doing a one time purchase but turns out it was a weekly subscription, so now I have to pay weekly payments? I have tried multiple times to end my subscription by reaching out to this email link they have but I have not received a response??? It says it was get back to me in eight hours but I have heard nothing!! It’s super frustrating. So be careful with what you sign up for with this app 

When I used it, I enjoyed it and it helped. I have since found better ways of meditating and do not want to use it or pay for it anymore.",betterme-calm-sleep-meditate,1363010081
"{'id': 20737151, 'body': 'Hello! We apologize for the inconvenience. Please reach us at gethelp@betterme.tips and provide us with the 6-digit number of the email you have received in the auto-reply. This way we will locate your messages and get back to you shortly. Kind regards, team BetterMe', 'modified': '2021-01-29T17:02:34Z'}",kayceeel,False,2021-01-12 08:11:11,Predatory App - AVOID,1,"Saw this app on an Instagram ad, and signed up. Enrolled thinking I signed up for a great deal of $9.99 subscription. What they don’t tell you is that it’s the WEEKLY price. Now I’ve had to remove my bank information from this company’s site so they don’t charge me again and have yet to hear from anyone at the organization about canceling my account. I’ve tried to remedy on my own but because of how I set up the account they never gave me a login, just took my bank details so they can profit off of people like me who got duped. Extremely frustrating and sad. THIS APP IS A SCAM. There are better, more honest apps for mental health. My time with this app has honestly done more harm than good.",betterme-calm-sleep-meditate,1363010081
"{'id': 19828291, 'body': ""Hello! Thank you for bringing the issue to our attention. We would appreciate it if you could provide us the 6-digit number you received in your automated email. It'll help us locate your email and provide you with a proper solution faster. Look forward to hearing back from you. Kind regards, team BetterMe\xa0Meditation"", 'modified': '2020-12-17T10:34:58Z'}",MissSij,False,2020-12-15 19:12:06,FRAUD! THEY WON’T STOP CHARGING YOUR CARD,1,This app needs ZERO stars and it has me super stressed out! Isn’t it supposed to do the oppisit ?They didn’t say it would be a weekly subscription. I thought I was paying a one time fee. I found them through an IG ad.  They charged my card again one week later. I’ve since been trying to cancel my subscription but they won’t respond. And they say to cancel it just message customer service. I’ve done that 5 times over a number of days and not a response. Except the automated response that says a human will respond in 24 hours. But they never do. I am definitely filing a report because this is a fraudulent company.,betterme-calm-sleep-meditate,1363010081
"{'id': 16119806, 'body': 'Hello, we are so sorry for your unsatisfactory experience with the BetterMe Meditation! Please note that the users are not charged by us but rather by the respective platforms they’ve obtained the app from. Please contact Apple directly to request a refund: https://support.apple.com/HT204084', 'modified': '2020-06-21T08:35:16Z'}",TammyC916,False,2020-06-20 13:13:17,Worst Meditation App Ever,1,"I've asked for a refund to only be ignored, there are free apps that are better than this one.  They lure you in with advertising meditations for weight loss among other things, but it is an additional purchase price on top of the overpriced purchase price to begin with.  All meditations are beginners level.  The articles read like a high school student wrote them with little to no information.  It is information that that you can find in the headlines alone if you were to google them. Did I mention that it is over priced?  The one star rating that I gave is generous, but without rating it I would not have been able to write a review.",betterme-calm-sleep-meditate,1363010081
"{'id': 20854321, 'body': ""Hello! We would appreciate it if you could provide us the 6-digit number you received in your automated email. It'll help us locate your email and provide you with a proper solution faster. Kind regards, Team BetterMe\xa0 Meditation"", 'modified': '2021-02-04T09:46:31Z'}",The Write PI,False,2021-02-02 20:54:00,Refuse/fail to cancel per request,1,"I canceled this the same day on January 29, 2020. All I received was an automated response saying will be in touch within 48 hours. No further emails received from company. I’ve since  sent three cancellation request with no response received at all. Today I tried calling the phone number that they have listed with my credit card company, and the phone number is a “out of service“ number.I also found that their so-called headquarters is listed in Cyprus not in the United States. Since they have failed or refused to cancel discharge, I will be filing further complaints with the necessary agencies.",betterme-calm-sleep-meditate,1363010081
"{'id': 16798049, 'body': ""Hello! We'd like to explain how other free apps work - there are a lot of ads that distract you from working out, whereas BetterMe is constantly worked on by our developers and you will have free customer support. Kind regards, Team BetterMe\xa0Meditation"", 'modified': '2020-07-22T07:11:19Z'}",KaitoPanda,False,2020-07-21 19:17:00,Couldn’t get over the price,1,"Not even a trial for the service. You go through a questionnaire, then asked for a payment before continuing. Deleted within 10 minutes of downloading.

Edit: Reaching out to say the app is free but you have to pay for it, does not make a free app. I will not pay for a week to “test it out” I have the resources I need. This would have just been a more portable option.

I’m sorry but this is poor business practice that it is not clearly stated you have to pay until you go through the entire survey. It’s not about the money here, it’s the principal of being deceitful.",betterme-calm-sleep-meditate,1363010081
"{'id': 19774175, 'body': ""Hello! We apologize for any confusion. If you have faced any difficulties or issues with the app itself, we are always glad to help our customers. Do not hesitate to reach us at gethelp@betterme.tips. We've got an idea of what we can do to make your experience more pleasant. Kind regards, Team BetterMe Mediation"", 'modified': '2020-12-15T08:45:49Z'}",Reynolds - Illinois,False,2020-12-13 19:58:15,No stars!! Fraud!! Lies!!,1,"I’m posting this for others to see.  They tell you to cancel your “subscription” it’s thru your provider-I’m an apple subscriber & apple has notified me that because the charges to me are from BetterMe direct, it is NOT an apple charge therefore apple CAN NOT cancel this subscription!  I best hear back from the providers of this app & BetterMe and have my funds reimbursed and this “subscription” that you are charging me CANCELED or I will be looking into starting a mass lawsuit for fraud and having all the others that have been scammed by your app to join me!  This is absolutely ridiculous and it needs to be stopped!",betterme-calm-sleep-meditate,1363010081
"{'id': 20787020, 'body': ""Hi there! We're very sorry to hear our pricing structure didn't work for your budget. We are constantly testing new cost suggestions. We hope everyone finds something that suits them best. Please contact us at gethelp@betterme.tips and we will see what we can do for you. Kind regards, team BetterMe  "", 'modified': '2021-02-01T15:58:00Z'}",TrackRedMonster,False,2021-01-22 17:54:44,"Liked the app, not the price",2,"The application is beautiful and well made. The price of $10 per WEEK and still to have locked content was ridiculous for what you receive. When I went to cancel and explain that the pricing had been unclear, the person that emailed me back refused to give a refund (even a partial one). 
I thought I was paying $10 one time. Even $10 per month would be more reasonable for this application. It has made me wary to purchase other things from the App Store, afraid I’ll be repeatedly billed.",betterme-calm-sleep-meditate,1363010081
"{'id': 17889450, 'body': 'Hello! We apologize for the inconvenience. Please provide us with the 6-digit number of the email you have received in the auto-reply. This way we will locate your messages and get back to you shortly.', 'modified': '2020-09-15T11:30:36Z'}",Leitvox,False,2020-09-13 02:47:41,No chakras test or guidance that they promise in ad,1,"I saw an ad about the app that states a chakra test. The test, however, only could be done if you are subscribed. So I went ahead with the subscription of three months (the minimum term offered) and there was no test and no guidance about the chakras that I was interested in. Instead, an app with pretty design, meditation exercises—that you can find better ones in docens of other apps, and that’s it. Btw, I email them about my concern and I didn’t get any answer. I just canceled my subscription but I gave away $thirty something dollars. Disappointing.",betterme-calm-sleep-meditate,1363010081
"{'id': 20738661, 'body': 'Hello! We are sorry for any confusion. We are trying our best to be as transparent as possible when it comes to our subscription plans. Please contact us at gethelp@betterme.tips and we will see what we can do for you. Kind regards, team BetterMe Meditation', 'modified': '2021-01-29T19:17:53Z'}",Pharmaspark,False,2021-01-18 00:56:45,Predatory Business Practice,1,"**9.99 PER WEEK** Clicked on thru an ad. Listed as 9.99 flat price, not clear it is a subscription until final page, and even then does not tell you what the renewal period is. It’s not till you get a welcome email that you find out it is $9.99 PER WEEK. Will allow you to cancel but will not refund full price of initial payment even when canceling within 12 hours of purchasing. So lure you in with a low flat fee, and if you don’t notice they rake it in every week, and if you do notice you can’t get all your money back.",betterme-calm-sleep-meditate,1363010081
"{'id': 14653954, 'body': ""Hello, thank you for taking your time to review our app. We'd be grateful if you sent us a message to support@betterme.tips with more details on the issues you might have experienced, and we'll see what we can do to assist you! All the best, Team BetterMe"", 'modified': '2020-04-14T09:18:53Z'}",Lily864,False,2020-04-13 22:35:46,Not good.,1,"BEWARE: There is not a trial subscription, they charge you FULL price right away. You can see many reviewers have experienced this. I was planning on canceling but saw they had already charged my card WITHOUT MY CONSENT. 

ALSO: English is not the 1st language of whomever made this app. The mediations are done by an automated voice, aka a computer, not a human teacher, and sounds like a robot. Though they edit it to sound  like a real person, the worst part is trying to ignore the typos and poor English words they choose. Not relaxing, total waste of money.",betterme-calm-sleep-meditate,1363010081
"{'id': 20894779, 'body': 'Hello! We apologize for the inconvenience. Please provide us with the 6-digit number of the email you have received in the auto-reply.\xa0This way we will locate your messages and get back to you shortly.\xa0Kind regards, Team BetterMe', 'modified': '2021-02-06T10:37:04Z'}",Raina Jane,False,2021-02-05 00:42:56,Not upfront about the cost,1,I saw an ad for this app online & thought I’d check it out so I signed up for what I thought was a monthly fee only to discover (when I obtained my receipt) it’s a weekly fee. With a one year sub that fee would really add up. I just filled out a cancel request because I have other meditation apps that don’t mislead customers and work just fine. I tried to find ANY indication on the app it’s a weekly fee but could find nothing. This leads me to conclude that this is intentional to scam more money from people. Not cool.,betterme-calm-sleep-meditate,1363010081
"{'id': 23365301, 'body': 'Hello! We still cannot find your request. Have you lately sent it to gethelp@betterme.tips? We are here to always help you. Best Regards, Team BetterMe', 'modified': '2021-06-14T08:23:07Z'}",madisonholcomb,False,2021-04-27 16:01:29,THEY TRICKED ME,1,"They offered a year-long membership for a couple dollars a week so I bought it but IT CHARGED ME FOR THE WHOLE YEAR!! I don’t even know if I like the app yet because I didn’t get to preview it and now I’m out $70 even though I cancelled right after I subscribed. I’m literally crying I can’t afford to lose $70 right now. My whole week is ruined. I only got the app to try out a test I saw an ad for and I can’t even find that test in the app now. Not only that, but this app is for relaxation and mediation, BUT NOW MY STRESS IS 1000% HIGHER THAN BEFORE!! I WILL UPDATE IF I GET A REFUND!",betterme-calm-sleep-meditate,1363010081
"{'id': 16175402, 'body': 'Hey there, we are so sorry for this misunderstanding! We are willing to review your case and see how we can help. Please drop us a line to support@betterme.tips. We will be extra grateful if you mention your App Store comment as it will be easier for us to understand the issue.', 'modified': '2020-06-23T16:59:52Z'}",RLNICKELS,False,2020-06-23 08:00:45,I feel deceived,2,"I wanted a good meditation app with sounds however this one, endlessly plays the into music over any other music or meditation features. I also wasn’t happy to find extra hidden fees for sounds on top of a large cost for the subscription. I wish I could get my money back and I’ve only had it for five minutes. They should give you a free trial to test it out instead of how they are presenting this. Not worth it and I feel deceived.",betterme-calm-sleep-meditate,1363010081
"{'id': 20804828, 'body': 'Hello! We apologize for the inconvenience caused. Please reach us at gethelp@betterme.tips or provide us here the 6-digit number of the email you have received in the auto-reply (if you have already contacted us via email). This way we will locate your messages and get back to you shortly. Kind regards, Team BetterMe Meditation', 'modified': '2021-02-02T10:01:38Z'}",Lotachukwu,False,2021-01-27 10:39:15,Unhappy with your charges.,3,"I have been charged $9:99 and $6:99 on Jan 20 and on 28!! That’s $34 in under 2 weeks!! This is criminal! I haven’t even used the app!! Just downloaded it on the 20th. Kindly ensure you return my money! This is criminal! You want to create more problems for me instead of solving it! 
My comment wouldn’t post until I gave you more stars! If I had my way you won’t get any at all!!",betterme-calm-sleep-meditate,1363010081
"{'id': 20736873, 'body': 'Hello! We apologize for any confusion. Please contact us at gethelp@betterme.tips and we will do our best to help you. Kind regards, team BetterMe', 'modified': '2021-01-29T16:45:12Z'}",Caita84,False,2021-01-11 19:38:06,$10/week?!,1,Thought I was paying 9.99 one time for a specific personalized meditation. Not only did I not get my specific course (despite multiple not useful exchanges from customer service) but I was also alarmed to discover it was a repeating WEEKLY charge of $10! Thankfully I noticed the charge in my account after a month and was able to cancel but could only get refunded half. So $20 for nothing I wanted. Feels like dishonest business practice despite the nice email responses allowing that 50% refund. Nope.,betterme-calm-sleep-meditate,1363010081
