developerResponse,isEdited,date,title,review,userName,rating,app_name,app_id
"{'id': 21692618, 'body': ""Thank you very much for your feedback, we're sorry for the difficulty and frustration you ran into with the app. I will share this feedback with our product team for them consider updating in future releases. In the meantime, please send us an email at info@sanvello.com if you ever have any questions or additional recommendations for us going forward."", 'modified': '2021-03-16T20:23:12Z'}",False,2021-03-12 18:45:16,Not calming?,"I don’t understand this app. It was recommended and covered by my employer so I tried it. First it makes me choose a theme. Stars seems nice! No, it spins at a pace that dizzied me and confused my brain. I quickly chose another. Lightning? That means constant flashing! Turns out none of the themes aren’t animated (at a weird rapid pace - if they were slow they wouldn’t bother me nearly so much.) So right off the bat, I’m frustrated. 

Then some of the text is barely readable against the background, for some reason? Black text against the theme background, in a few different screens. 

I get it that the lessons talk about the causes of anxiety, although apparently, according to this app, all of them are external? Let me tell you, my brain does a great job of giving me internal reasons to be anxious. But then it repeated it during the breathing exercise. I don’t want to think about the causes of my anxiety when I’m trying to clear my mind. Why even mention it there? I didn’t even make it three minutes into the seven minute relaxation because I kept getting angry at the relaxation exercise. 

I don’t know if it gets better at all, but just the basic stuff seems to frustrate me way more than relax me. These shouldn’t be roadblocks. Stick to lessons during lessons and relaxation during breathing exercises. Fix your visual stuff. Calm down the animations and make text readable.",L1701L,2,sanvello-anxiety-depression,922968861
"{'id': 15085237, 'body': ""Hi, this is a great suggestion. We haven't focused a lot on multimedia support here because it introduces some challenges, like laying the image out and where it appears. Have you tried the hope board though? This is intended for more visual content, and can serve a very similar purpose to the journal."", 'modified': '2020-05-04T16:12:06Z'}",True,2020-05-04 22:01:00,Needs picture support for journaling,"This is an overall wonderful app that I use daily and even paid for a year of premium after using it for free for a long time. That being said, as I’ve settled into practices that help my mental health, journaling in a physical notebook has become one of them. The journaling feature in Sanvello offers journaling via text and via audio. It needs to include picture support as well. I would like to be able to track my journaling practices and simultaneously have a virtual backup of my physical notebook. It wouldn’t be that hard to add picture support.
Edit: While using the Hope Board is an option, I’d like to keep my Hope Board separate for things that make me smile or things that make me happy. Spamming my Hope Board with a daily picture of my journal isn’t the best option because then it cheapens the actual content I post on my Board.",Littledrummerboy3.0,3,sanvello-anxiety-depression,922968861
"{'id': 13423371, 'body': 'Thank you for taking the time to write this detailed review. We are truly honored by all of it. Please do not hesitate to reach out to us at info@sanvello.com if you ever have any questions. Again, thank you so much and have a great day!', 'modified': '2020-02-11T15:48:06Z'}",False,2020-02-11 03:36:45,Amazing,"When I first go this app I thought that it would be just like any other meditation app. I thought that it wouldn’t help me at all and that it was no use in getting it. I’ve had the app for about two weeks now and it has helped me so much with my emotions. It helped me with lowering my stress, social and performance anxiety, and other struggles I’ve had. I can record how I’m feeling and over the past few weeks my mentality went from “awful” or “okay” to “very good” and even “great.” The health tracker helps me to remind me to take my meds or to get enough sleep. The meditations really helped me to feel calm and now I have multiple healthy coping mechanisms (that actually work) to help me when I get too stressed or anxious. This app is a life saver.",Madison_13579,5,sanvello-anxiety-depression,922968861
,False,2020-10-30 16:47:03,Logging in issues,"I have had some issues logging back into the app. It logs me out quite frequently. Sometimes I want to pop back into the app and do the mood tracker or jot something I’m feeling down. Having to log back in them go through the two step verification process frustrates me and deters me from doing those things. The two step verification I would rather it sent me a text instead of an email. It takes a while for the email to come through and by then I’ve already forgotten the thought I wanted to capture. 

Also it would be nice to clear some things off the Home Screen when you’ve already listened to them. Being able to click maybe a next button or swipe them to the next meditation, journey, or quote would be nice.",BabsyTXB,4,sanvello-anxiety-depression,922968861
"{'id': 22104911, 'body': 'Thanks for your review, we are so glad to hear that Sanvello has been helpful in reducing your anxiety! Please send us an email at info@sanvello.com if you ever have any questions or recommendations for us moving forward.\r\n', 'modified': '2021-04-07T16:34:41Z'}",False,2021-04-02 20:02:09,Life-Changing Advice,"For the past few months, my body has been in fight/flight/freeze mode on a consistent basis. My hands were always shaky, and my chest was so heavy and painful that it was hard to breathe. I was spiraling downwards and felt incredibly depressed. But then I began using this app. I have only been using it for three days, but I feel and see the difference. My breathing is deeper and steady, and the burden is almost lifted from my chest. I feel calmer and incredibly tired now, and I think that fatigue is from finally relaxing after being so very anxious for so very long. I cannot afford a therapist, so I never had any tools to manage my anxiety. This app has taught me those tools. I cannot recommend Sanvello enough.",Breezter,5,sanvello-anxiety-depression,922968861
,False,2020-04-14 04:22:25,Quarantine Lifeline,"Having suffered a nervous breakdown, and being diagnosed with GAD, depression, and other neurological disorders, Sanvello has become my quarantine lifeline between telemed calls with my therapist and doctors. Sanvello has given me a place to track my moods, thoughts, goals, health, and realizations. In addition, I have been able to meditate and recognize when my panic sets in or moods shift. 
I have been so impressed, that I have recommended Sanvello to my husband, children, family members, and friends. I have told my therapist so much about Sanvello, that she has begun recommending it to other patients. 
To the creators of Sanvello...
I can not thank you enough for this app. It’s just what is needed at this moment in time.",teachrulz2,5,sanvello-anxiety-depression,922968861
,False,2020-07-20 00:19:40,Helpful in a very dark time in my life,"This app has really helped me in a time in my life where I was really struggling with my mental health. It has a lot of things to offer such as setting daily goals that reminded me I needed to keep moving forward despite how badly I felt, it gave me lessons based on CBT that were educational and a reminder how to cope in those difficult time. It has support groups and features such as guided meditation. I felt the daily check in on how I was doing was very helpful because I could journal how my day was going and look back on my progress. This is a great app for someone who is going through something and needs some guidance and support.",Acathernb44,5,sanvello-anxiety-depression,922968861
"{'id': 14144297, 'body': 'You are so very welcome! Thank you for being a part of this community. Remember, alone we are strong, but together we are Sanvello Strong. Never hesitate to shoot us a note at: info@sanvello.com. All the best, your Sanvello Team.', 'modified': '2020-03-20T14:40:04Z'}",False,2020-03-19 22:52:55,THANK YOU Sanvello!!,"Your gesture in offering a free premium subscription to all during these unprecedented times is a truly an act of kindness, compassion and generosity. Having to cope with PTSD, GAD and depression in a time of fear and chaos is at times unbearable. When I received your email for the premium subscription, I immediately opened the app and within minutes felt a sense of relief and community reading only a few comments from others. It was a perfectly timed reminder that even during times of isolation, I’m not alone. A genuine and heartfelt THANK YOU, I will do my part to pay it forward. To all who read this, stay safe and take care. 💖✨💕",SheDizzle!,5,sanvello-anxiety-depression,922968861
,False,2020-04-24 01:03:21,Great!,"I love this app! I can keep track of everything I’m feeling and everything I’m doing to better myself (water, exercise, meditation, etc) What I really love is the extensive amount of feelings tags you can choose from. Other apps just use basic ones. Being able to pinpoint exactly how I’m feeling helps me learn more about myself and what I’m going through daily. I also love the visual representation of my daily moods, as well as the option to track it throughout the day. My mood isn’t the same all day, so I enjoy seeing a display of how things change for me depending on what’s going on in my day.",Marydigital21,5,sanvello-anxiety-depression,922968861
,False,2020-07-08 02:32:45,Life Changing.,"I have never written a review for an app, but felt moved to for Sanvello because it has helped me so much. I have generalized anxiety and used to suffer terrible panic attacks, most of which I would not have made it through without this app (back when it was called Pacifica). It offers so much, from journaling, to guided meditation, to safe spaces like discussion boards, to weekly check ins. If you feel like a victim to your mental illness, this is the app for you—it will help you to realize your strength & ability to manage, if not overcome, your struggles. Wish I could give above 5 stars, thank you so much to the creators!",Blueberry2267,5,sanvello-anxiety-depression,922968861
,False,2020-06-20 23:01:26,If you want to build yourself back up!,"Honestly, I was in a rough patch. It was like one thing after another that was going wrong. With school, personal issues, relationships. But this app really put my thoughts in perspectives that I didn’t look at. It gave me advice better than a friend did or better than someone else did I wanted more from. You have to fix yourself, no one is gonna do it for you. This helped my journey! I look back on some things and realized how much things have changed and this app helped me. I was on it often then it was like I didn’t need it anymore. I am working on me ❤️",Kothaaa,5,sanvello-anxiety-depression,922968861
"{'id': 22269432, 'body': 'This is hard to read. It is exactly opposite of the experience we want people to have. Our goal is to be the most accessible mental health platform, period. In your case, it sounds like we missed the mark. Notably, we believe in ""getting better"". We believe in individual improvement and systemic improvement.  Feedback like this, though difficult to receive, motivates us to evolve in ways that better serve individuals on their journey. *The hope is that we can all ""get better"" together.* We would welcome the opportunity to talk with you in more detail about your experience.  Please contact us at info@sanvello.com and reference this communication.', 'modified': '2021-04-15T21:00:57Z'}",False,2021-04-05 14:47:45,Denied service,"I suffer from depression, it’s hard to even schedule therapy. I managed to build up the strength to get a session scheduled. I was excited!

Sanvello charged me 120 dollars for the initial consultation. After going through and answering many personal questions and medical history we were closing up. They determined that they would be unable to help me and I should find a different provider.

They did not give me phone numbers, or offer to help. They simply abandoned me with a bill telling me to go else where.

I’m sure they had reasons, legal an other reasons they are asked to tell high risk patients this. I find this hugely unethical knowing how difficult it is for those struggling to ask for health, to leave them worse off then they came.

Under no circumstance would I ever recommend Sanvello for this reason. If they were to give free consultations rather than scamming the worst hurting people out of money and denying service I would change this review. For now my advice is to avoid. Sanvello left me worse than when I first tried it, without help and with an additional bill.

Update.

Billing was unable to resolve or refund my issue. Instead I received a letter terminating there service",captinsnow,1,sanvello-anxiety-depression,922968861
,False,2020-11-02 18:36:07,This is the best thing ever!!!!!!,"Sanvello is awesome for people who need help with their emotions. There are meditations, A public chat, only for positive things and stuff like that though. Sanvello is really amazing it recommends things like going for walks, doing things that make you happy, like art for example, and can really help with the emotions that are really big like anger, and sadness, oh my God Sanvello is amazing you need to try it!!!!!!!!!!!!!!!!!!!!!!!! With Sanvello, the possibilities are endless! BTW this was written by a nine year old fourth grader, so please don’t judge. Oh yeah, in public speaking you also can’t judge other people’s messages. Your have to get Sanvello!",GirlyCatGamer1323,5,sanvello-anxiety-depression,922968861
,False,2020-03-31 11:39:35,Great app for mental health,"I receive Sanvello premium for free through my insurance carrier and when I downloaded it I truly had no idea what to expect. I have been so impressed now I’ve been trying to talk it up to everyone at work! 

I love the mood tracking feature with feeling words and a journal I can attach. There are weekly assessments so I can track how I am doing over time. There are even paths to take with readings and meditations based on how I answer the assessment questions. 

I haven’t delved too much into the discussion/community feature but I do like the idea of being able to connect with others on topics dedicated to mental health. 

They also use a team approach when working with clinicians which is how it should be in an ideal world. You get a therapist, psychiatrist (as needed) and a coach to work with 1:1 for any needs above and beyond the information and tools offered in the app. Overall I have been so impressed and love everything Sanvello has to offer.",halfthefight,5,sanvello-anxiety-depression,922968861
,False,2021-01-15 18:00:49,Reluctant at First,"I wasn’t feeling energized and didn’t want to engage with this app. But I tried it at the urging of my partner, and actually felt more in control, and like I was actually taking care of my mental health when I finished the initial program. It’s hard to access mental health care when you’re deep in your own mental illness. This made it surprisingly simple, and I’m grateful for the gentle way the app builders have made it: clearly they understand that struggle and want to be a source of self care that doesn’t take too much time or too much of that precious energy we’re all fighting to preserve.",Brrathbun,5,sanvello-anxiety-depression,922968861
,False,2020-10-26 19:49:23,Tools for whatever space you’re in,"I don’t reach out for help outside of myself but this app has so many tools for channeling the river of life. I do like the aspect of having a coach basically on call also. Just having some one to respond when you are trying to heal is great! I recommend this to anyone at any point of your life’s journey. 

I will also say the app assumes you have mental illness, which maybe we all do, but a couple of quizzes asked what do I feel when I’m open about my illness. I don’t identify with having an illness so answering those questions felt strange.",Jii5,5,sanvello-anxiety-depression,922968861
,False,2020-10-23 00:34:45,Really refreshing,"I just started using this app and am already recommending it to people. Most mental health apps do one of two things and this has it all in one place. I really enjoy the goal setting and mood tracker options and have loved looking through the rest of what the app offers. It’s also stress free (unlike other apps I’ve tried) and doesn’t recommend a specific schedule for your activities or use of it. So if you use a meditation one day but not the next, the app won’t send you notifications that shame you for not taking that action.",Smelliotte,5,sanvello-anxiety-depression,922968861
,False,2021-01-08 20:15:31,This app is wonderful,"I absolutely love this app! Due to the COVID, it has been extremely difficult to see a therapist in my area. However, thanks to this app I can receive therapy help right through my phone. The best part is they accept insurance! I have been extremely depressed and stressed and feel like I am hostage to my own happiness. I hope this app takes me on the steps to living a happy and healthier life. So far, I have enjoyed the meditation and other things it has to offer! I am so excited to see what else is in store. Thank you so much for creating this app!",Sherrie 2001,5,sanvello-anxiety-depression,922968861
,False,2020-04-12 19:36:42,Amazing app,"Definatly something everyone should have. It helps with depression, anxiety, and PTSD . And so much more. There’s a community that you can talk to when you need someone to talk to. It makes you feel like your never alone and it helps you reach your goals in a healthy way. Your health care providers can even be apart of your team on this app. I give this a 5/5 review because it has truly helped me when other apps didn’t. One thing I would watch out for tho is the voices they use. There not particularly soothing and can trigger some emotions if your not careful.",Leyna Gondek-Jones,5,sanvello-anxiety-depression,922968861
,False,2020-11-19 03:15:28,Welcome to your safe haven,"This is the best platform that you can use especially when dealing with issues. From options to give gratitude, meditation, and forums to discuss issues anonymously from your phone! You can be in any space and use it. It’s helped me so much especially through quarantine. I don’t think I would be able to go on without this app. I’m so thankful for the developers and I’m forever grateful I found Sanvello! Please, please, if you need a safe haven to escape to, a place where you’re welcome regardless of who you are, come here!",shortandsimple_,5,sanvello-anxiety-depression,922968861
,False,2020-07-20 13:49:43,So helpful,"This app has been a life saver. I get a notification every morning asking how I’m feeling, and it allows you to track your mood every day and summarize the week. There’s an option for daily notes on your feelings/thoughts, and many resources for healing, inspiration, meditation, and learning. It’s definitely been a helpful supplement to coping with severe depression (along with my own counselor and meds, of course). Also, there is an option to upgrade for additional resources. I highly recommend if you’re struggling with depression/anxiety.",kbrotze,5,sanvello-anxiety-depression,922968861
"{'id': 21147686, 'body': ""Thanks for your review, we're so glad you hear that Sanvello has been helpful for you!😊 Please contact us at info@sanvello.com if you have any questions or additional feedback on how we can improve your experience even more moving forward."", 'modified': '2021-02-18T20:04:44Z'}",False,2021-02-15 23:40:20,Finally something that helps,"This app has really helped me pause and reflect on my feelings and because of that I can actually learn how I get into my thinking traps. Also, the mood entry is a lot easier than other apps because of the word bank instead of having to find the right word straight out of my brain which usually stresses me out. The only thing I don’t like is that the feelings aren’t in alphabetical order or another arrangement so it can be hard to find a word if you have one in mind already.",Mateusz Lojewski,5,sanvello-anxiety-depression,922968861
,False,2020-12-03 00:33:55,Sanvello is AWESOME,"I love this app because it is like a diary where I can express my feelings and it has helped my to feel better about life.  You can rate how your day was and type what is happening that makes your day like that, you can also schedule appointments with somebody or practice meditation and much more!! And Sanvello is free!!!! Unless you get the premium edition but I am good with the standard one. I downloaded this because I have sudden mood swings and I found out that I have mild depression and slight anxiety.  I would recommend Sanvello to everyone!",Burger_Bob,5,sanvello-anxiety-depression,922968861
"{'id': 19153515, 'body': '😉Thank you for your feedback.  If you have any suggestions for how we could have improved this experience for you even more (and earned 5 stars) ⭐⭐⭐⭐⭐please let us know. You can contact us at info@sanvello.com', 'modified': '2020-11-17T05:28:44Z'}",False,2020-11-07 04:44:59,overall a solid app,"This app includes a lot of features for tracking depression and anxiety which can be helpful for people who want to help themselves out without paying too much for an actual therapist. You can track your mood, habits, exercise and more which are all important things for self monitoring. It also provides guides for meditation and help for calming down after a long and busy day. These things can help the user be more aware of what affects them and their emotions/stressors and gain better control of their feelings. This app is very solid and can help a lot of people.",triviablank,4,sanvello-anxiety-depression,922968861
,False,2020-11-10 03:22:35,Life,This app has really help me and I’m only on day some stress and depression and all the negative things and people in my life are finally starting to make sense and I’m happy that I’m geting better it’s hard to feel alone when u feel like u can’t talk to your family or don’t really have no friends this help like a lot a lot I’m taking it day my day and trying to live my life the best way and I know teens this day such as myself Struggle with this type of thing like opening up at right now I feel at peace with my body ❤️❤️❤️❤️,❤️😞AP,5,sanvello-anxiety-depression,922968861
"{'id': 17406441, 'body': 'Thank you for your feedback!  I will make sure our product team knows about this request.  Enjoy the tools! ', 'modified': '2020-08-20T22:07:41Z'}",False,2020-08-19 00:11:08,"Very good, too pushy","I’ve been using Sanvello now for 8 days, and I’ve found it to be just customizable enough that I can make it work for me. It’s been easy to track my moods vs my activities, it checks in on me every so often, and since I paid I’ve got access to library of mindfulness exercises, and they’re all very good. 

Cmon Sanvello team, let me move that “Coaching” and “Schedule Therapy” to the bottom or remove them. I’m not doing either of those and it only makes it harder to visualize my data. Cmon. I paid for it.",LayzieGTP,5,sanvello-anxiety-depression,922968861
"{'id': 12827741, 'body': ""Thank you for the kind review. We are honored you have chosen Sanvello. Please don't hesitate to reach out if there is anything we can do for you at info@sanvello.com. Have a great day!"", 'modified': '2020-01-09T19:15:21Z'}",False,2020-01-09 14:20:30,A life changer,"I’ve tried similar apps and have been disappointed and deleted them within days. I stumbled on Sanvello and it became valuable enough to me that I ended up purchasing a subscription. Having said that, one of many things I appreciate about this app is that I received so much benefit from it even when I was only using the free version. 

On days I’m unmotivated or distracted, its ease of use means I don’t avoid it. I don’t need to pump myself up or get in a certain mood to open the app. It just works.",Oona Me,5,sanvello-anxiety-depression,922968861
"{'id': 16836386, 'body': ""Hi! Thanks so much for using Sanvello and for this helpful suggestion to health habits. We've shared it with the team."", 'modified': '2020-07-23T16:43:18Z'}",False,2020-07-10 01:21:27,Worth the subscription,"I haven’t been using this app long, but it has helped wonders with my mental state. They don’t offer therapy in my state yet, which stinks, but I’m hoping they will partner with my insurance company so I can take my self-care to the next level. 

One thing that’s slightly annoying is on the Habbits tool, it automatically adds a new habit every day from the premade list that I’m not currently tracking. I get it’s great to expand healthy habits, but I need to come to that decision myself. So perhaps gentle suggestions to try making a new healthy habit every month or so?",cdr0619,4,sanvello-anxiety-depression,922968861
"{'id': 20047443, 'body': 'Hi there, thank you very much for your review and thoughtful feedback!😊 I will send this feedback regarding provider messaging to our product team for them to consider in future iterations of the app.\r In the meantime, please do reach out to us at info@sanvello.com if you have any other questions or suggestions for us going forward. Thank you!\n', 'modified': '2020-12-28T22:35:48Z'}",False,2020-12-25 06:40:10,Great app,"I’m grateful for this app thus far. I switched from Talkspace because my therapist left. I wanted to find something clearly covered by my insurance. Talkspace hid checking for benefits behind a paywall.

The only thing is that I wish I could message my therapist! I prefer messaging to video, and it would be a little more flexible in my schedule.

It’s a small inconvenience though considering the added features of CBT modules, coaching, and other tracking options. I also think the journaling tools are neat.",~*ari*~,5,sanvello-anxiety-depression,922968861
"{'id': 16837138, 'body': ""Thanks for this review, and we'd love to help with your insurance upgrade. Please send your account details to info@sanvello.com with the word 'secure' in the subject line, and we can look into your health plan details with you to sort this out."", 'modified': '2020-07-23T18:12:53Z'}",False,2020-07-23 05:55:42,Review of the limited parts of app I have access to so far.,"Sanvello app was recommended by my insurance so I signed on. It says one can upgrade with insurance Info listed. I filled in all requested forms and repeatedly rejects my number as “no matching plan found. I repeated it at least four times without luck. I have the instruction letter how to upgrade and none of it
Works either. Kind of disappointed that nothing works correctly any more. The free portions are excellent and I am pleased so far.
Now I am having trouble sending a review to you and you asked for it!",Greatnsmall,4,sanvello-anxiety-depression,922968861
